dataset,method,method_key,protocol,samples,level_1_accuracy,level_2_accuracy,level_3_accuracy,level_4_accuracy,macro_f1,mcc
lt30,GaCA,gaca,tune_12303_validate_1368_refit_13671,243,0.9012345679012346,0.8436213991769548,0.8189300411522634,0.7325102880658436,0.7172050729839674,0.7321635438662001
lt30,ESM-2 sequence only,seq_only,tune_12303_validate_1368_refit_13671,243,0.8765432098765432,0.8353909465020576,0.8189300411522634,0.7119341563786008,0.6979899497487437,0.7115214384067482
lt30,ESM-IF1 structure only,str_only,tune_12303_validate_1368_refit_13671,243,0.8683127572016461,0.8106995884773662,0.7695473251028807,0.6584362139917695,0.632735104091888,0.6579768006620568
lt30,Mean-pooling vector gate,mean_vector_gate,tune_12303_validate_1368_refit_13671,243,0.8888888888888888,0.8148148148148148,0.7860082304526749,0.6954732510288066,0.6819095477386934,0.6949730021972469
lt30,Attention concatenation,attention_concat,tune_12303_validate_1368_refit_13671,243,0.8930041152263375,0.8353909465020576,0.8148148148148148,0.7160493827160493,0.694496290978703,0.7156293179317554
lt30,Mean-pooled concatenation,mean_concat,tune_12303_validate_1368_refit_13671,243,0.897119341563786,0.8395061728395061,0.8065843621399177,0.6872427983539094,0.6715242881072027,0.6867685397633337
lt30,Cross-attention,cross_attention,server_tune_12303_validate_1368_refit_13671_dim512_heads4,243,0.8847736625514403,0.8271604938271605,0.8024691358024691,0.7119341563786008,0.6892318736539843,0.7114601612644208
lt30,KNN,knn,fit_all_13671_fixed_hyperparameters,243,0.6419753086419753,0.5473251028806584,0.4938271604938271,0.3868312757201646,0.3827470686767169,0.3862819668538707
lt30,SVM,svm,fit_all_13671_fixed_hyperparameters,243,0.7489711934156379,0.6337448559670782,0.5802469135802469,0.448559670781893,0.3920315865039483,0.4477874746339362
lt30,Random Forest,random_forest,fit_all_13671_fixed_hyperparameters,243,0.4897119341563786,0.4279835390946502,0.3744855967078189,0.3045267489711934,0.2905001196458482,0.3036076540553792
lt30,LightGBM,lightgbm,server_tune_12303_validate_1368_refit_13671_l2norm_best349,243,0.42386831275720166,0.25925925925925924,0.21810699588477367,0.16049382716049382,0.157286432160804,0.1597915377653546
lt30,BLASTp,blastp,"top-1 transfer from the same effective 13,671-protein training library",243,0.8600823045267489,0.8065843621399176,0.7695473251028807,0.6666666666666665,0.6536013400335008,0.666235200845761
lt30,Foldseek,foldseek,"top-1 transfer from the same effective 13,671-protein training library",243,0.9012345679012346,0.8518518518518519,0.823045267489712,0.6995884773662552,0.678894472361809,0.6992249432214496
30_50,GaCA,gaca,tune_12303_validate_1368_refit_13671,477,0.9622641509433962,0.9287211740041929,0.89937106918239,0.8490566037735849,0.8334046193327631,0.8489297507775689
30_50,ESM-2 sequence only,seq_only,tune_12303_validate_1368_refit_13671,477,0.9622641509433962,0.9308176100628932,0.9035639412997905,0.8406708595387841,0.8270031365839748,0.8405451225223881
30_50,ESM-IF1 structure only,str_only,tune_12303_validate_1368_refit_13671,477,0.9350104821802936,0.8951781970649895,0.870020964360587,0.7945492662473794,0.7632591958939264,0.7943300606010536
30_50,Mean-pooling vector gate,mean_vector_gate,tune_12303_validate_1368_refit_13671,477,0.958071278825996,0.9140461215932912,0.8846960167714885,0.8238993710691824,0.8120045623039636,0.8237780133466288
30_50,Attention concatenation,attention_concat,tune_12303_validate_1368_refit_13671,477,0.958071278825996,0.9287211740041929,0.8972746331236897,0.8469601677148847,0.834630738522954,0.846864454509892
30_50,Mean-pooled concatenation,mean_concat,tune_12303_validate_1368_refit_13671,477,0.960167714884696,0.9245283018867924,0.8972746331236897,0.8364779874213837,0.8193826632449386,0.8363413388968886
30_50,Cross-attention,cross_attention,server_tune_12303_validate_1368_refit_13671_dim512_heads4,477,0.960167714884696,0.9203354297693921,0.8930817610062893,0.8343815513626834,0.8127174222982605,0.8342193149350596
30_50,KNN,knn,fit_all_13671_fixed_hyperparameters,477,0.8280922431865828,0.7526205450733753,0.7148846960167715,0.6352201257861635,0.6259338465925292,0.6348656926546413
30_50,SVM,svm,fit_all_13671_fixed_hyperparameters,477,0.8280922431865828,0.7442348008385744,0.7148846960167715,0.6289308176100629,0.5595808383233533,0.6285775854289932
30_50,Random Forest,random_forest,fit_all_13671_fixed_hyperparameters,477,0.8071278825995807,0.7337526205450734,0.7044025157232704,0.6561844863731656,0.6372540633019675,0.655870053047836
30_50,LightGBM,lightgbm,server_tune_12303_validate_1368_refit_13671_l2norm_best349,477,0.6561844863731656,0.5262054507337526,0.49266247379454925,0.44863731656184486,0.4194040490447676,0.4481730315412376
30_50,BLASTp,blastp,"top-1 transfer from the same effective 13,671-protein training library",477,0.9475890985324947,0.9161425576519916,0.8888888888888888,0.8113207547169812,0.8092244083262048,0.8111628697987097
30_50,Foldseek,foldseek,"top-1 transfer from the same effective 13,671-protein training library",477,0.9622641509433965,0.9308176100628933,0.89937106918239,0.8134171907756813,0.8103554795171563,0.813290218348546
