Entry,EC number,sequence_sha256
A0A151EH88,3.2.2.6,5312a85772da6df017dd62f215c520cb4d3461babad8c7eb8b47657e84928687
A0A1I4KS07,3.2.2.6,519c898d068fc88132e26e1efdd00f96afaf37ffb94a0b00a084a2c15698e4db
A1AY86,3.2.2.6,d14876533d870a309cae7e6ddce0236027e69cbbc044c7bd95fc6139bf9afb11
Q9LUJ8,3.2.2.6,869097600ef2ac030ac7ca7e1933b6732c398b6cac3f16ad0a006f09c4aed4da
P0DUE1,3.2.2.6,c4775b876ed563c2beb84bf5ab2b475cbf2dcf664dfa55ec677ceaa0192856df
P14778,3.2.2.6,c2b68be4c56565f6e7ef5b70b4afa998e7c154c1c482c7b9bf9f3dede2e49f88
P96648,3.2.2.6,66154c106809c677974b72de04ef914fdab6d9aa287f6274e7e1086783d96b13
Q0WSX8,3.2.2.6,4b7ed5ef7cec77a0533084fac541b02efe4500df90e63c2dea8b611d4b0e586b
Q13478,3.2.2.6,ab0e9a72becb71ff0b42f70e152d0a6b01e6d14260f7d850b0c74ff6e5e189b7
Q27312,3.2.2.6,a09098d4de12bf671d726165d26227277df794eced7370a49d948ac3730e1e4b
Q2YPC4,3.2.2.6,ad2babc317ccb2c8d85cfc9d84a5989d204484800da023de751e330ada6643a9
P59822,3.2.2.6,d692313714afafdd80b330307d8fa15c8a1d1e7117f2deadfb743d41734805aa
Q62611,3.2.2.6,97503063560a3aa0b239bee09e1f0354bbbb920dc6f8a00319b1e348c01036c7
Q10588,3.2.2.6,60d8e6daf037146eddf2d062dd5d4705b88b208249edf104fd83c3ce0dfc1a22
Q833J1,3.2.2.6,875c1adb47244b6f7f09bbba71ffc1032a299311964518c9c8691466c066d187
Q9FHE8,3.2.2.6,1a1759a9075b2f2c880a34cadbdccbcf556f60a773903426c306c4ed2f8717a8
P27032,3.2.1.4,32db9aa3dfe06e86fdb120b87188eac39670749af902e9e03aa31375cecb8ed8
P07984,3.2.1.4,f05ee54900653d63a5204edbcc868f93c1ba8644f3eeef6d92ee8d4fb385270f
S7Q0E7,3.2.1.4,d35fb48088da8cffaba21f61c76989273620eb74f232d519b6dc47399ea6b92b
Q07940,3.2.1.4,89c78f9e77a4dbf4ea10046087abb6f7a424640e905528cb40bfe73c1629973d
B0Y9G4,3.2.1.4,b3311718d27b5a4afc5349131f0b21de4c65b4f487f1045023111219f6f8ef90
P28623,3.2.1.4,d3ee14160bd732dd507317e5486cded1535d5274eee6652ed173fd84ce977d80
A0A384JJE6,3.2.1.4,a5dbd1f95e241f482f587562ad72ce2ad306cd3eb00683f68195a416dcbf7430
A0A023VXA2,3.2.1.4,8b93dab714c89ea34064ef901477faed2f809432caf757f91e5e13a6332da9df
G4NBX2,3.2.1.4,fb05f88943655263b0b82a675b2ed568bb7da9c6ab8623b7febc54d0ab763782
P17974,3.2.1.4,fa45cacc5542fe8b696ef9fae499742e651ff247036c4c8b26a9483818f414f9
P18126,3.2.1.4,1979dfc046f82d072b5fed516343972864be6889ef5d36476b16945a956e2c36
G2QZK6,3.2.1.4,e26d01aa17f2b80ead1ee422efd0282a1de2913bb9184747eaf3c9109955e4a1
P23661,3.2.1.4,252efabc8d35d470bda255a178337b2bcbcf0d06d3c353408da31e6775866397
A0A8A1G1R1,3.2.1.4,f59eee643bcbc832d2459176c54835583afba360b5bc32055129db468459c1ba
Q5BEI9,3.2.1.4,34ae2329ca73af57578b10dc1050690a9a0dd76ba978a8734be6f2171b792225
Q8RSY9,3.2.1.4,25e1ab5690ea68cadd0c21768683ddacd75571385279d97ace75a2ea677c6cd8
P43317,3.2.1.4,4cfb7a64972b160b7feebc433e0e3881a0ba054fbc31f7f243574040c7ca7e98
P37701,3.2.1.4,7a0e7ccf9f9f77472d984087edce6bc1e00553a5d130ad47fca77d1eb606a7ef
A0A5J6BJN2,3.2.1.4,f09d68bbe50a673e3f9faa59ff3f16ec0e75ee5bf7a28c53d956902966116dca
P07103,3.2.1.4,36ef1bcaa63b17f5cdca3b9fabc46581bd7418d8545b38fcc83e7cd1456db4c4
Q6DKE0,1.1.1.179,35864392248e7e05e40a51dcc291fb5621a2354566f9ad82627b9d45a25c3eb0
Q9UT60,1.1.1.179,7a417f75cc49601b0bff3f90119c84c79ec779781b2226605b08383c243582d8
A0A060S684,3.1.1.42,9e06a86c4d466395e96365e46d6b77ad91260f234f0e723baab67e005ccf9253
A0A1E4S2P1,2.3.1.268,eb77534ac319e95db6e13cc3a3216b8f75bf462b52a0cb77c7e5298291f67e5d
P53208,2.3.1.268,2f1e1bbc6223dbd669596cafda23868e398390710e26afe877c8cb1a01606b60
Q9SBK6,2.1.1.141,87d751581a6effee0342dc0b5a54dc06a724d45c98501c6a63d254871cc20e6a
A0A067YBQ3,2.4.1.170,712355736dc3db793bbb241e175d8c0c650a37be83d6bc23b9497368f09e04fd
A0A068Q609,1.14.14.77,f67d9b36f49be8750887afd3f11d51d04dcafb7220e582ebdcc9a7bcf77c12a2
P29027,3.2.1.14,d448505fc9df06778cd6066bf29e78d9c7c8e83fe8e57cfd17e0242c32448936
P14529,3.2.1.14,811be4d3bde07398cc717f98f1d5ef603f3a4de5caa961260e6052301bded9c5
P11797,3.2.1.14,cdb767ddcda49bceb301d055e257d74c22fb58039bd95e5a30c2726c59f80742
P46876,3.2.1.14,651eb37ae4bc691f808f8f4c70317eda4121326e3a5fc94747b01b1fb2b465e1
D4AVJ0,3.2.1.14,14b852d2e97f5bae8f87858022c75753f33b7d6a06522e178f0e708d8428eb43
O74199,3.2.1.14,bc569e89c71884e4d399fa230a9aa94ae0daacb9023c1e9e1c55f0155ff07473
Q8S1V1,3.2.1.14,5d80671d54d6c448d1e638450ba6c52fe6b117dff4b2ba716277ada9c5aa6202
P86955,3.2.1.14,c15fdf70f8fec5f20acdf29e40fc5dc227fb98f3007f96bcc134680642f88a3a
Q9W092,3.2.1.14,012d2aeed28f0c891387619f404ade7d501ffbbbb330c3689090608e62dffece
E9ENC6,3.2.1.14,866f6fa9594a7a7406b49ee9fb6fbab6ea50a29e7bd749e01e9efb1811b6995b
H2A0L4,3.2.1.14,32ffe6862b55f1f4f95ba3b5059c4ef03c3f1a101dd2356e64b4858267984e66
O81862,3.2.1.14,4d5bf92a4cf8d8b82c587dae767fac2ca90e36e1993ec67060e1ad55a563cd24
Q2VST0,3.2.1.14,319d1e07ab5ffb2bf93573b07d3f863cfc896543f80c0b155bbc191a9885f6e5
Q1E3R8,3.2.1.14,f64a658f58449dfcbc042d44a6d7b5a7cd7ebc62ac75f5c1c87e1ac05de0f946
Q39799,3.2.1.14,24e8ce4039f62dac7fb9ffac52775fef3fa5318f8e63075ad3be5bf944540b4e
A0A072UR65,3.2.1.14,10d659146e5d656afb8db4a0700798def88564fe7d8421589a0070e73c5626f3
Q9SLP4,3.2.1.14,7922ebbe0c2af24010c34064a5c53fbfc3043a2e25c4b13d554b4370ada3f39d
D4B4X4,3.2.1.14,5d229bc0eff4db9ad871e02f304581344af42bd99ae30bbf50b450be4e7665f0
A0A1B1J8Z2,3.2.1.14,dfdbe93932c2d87b304959171be510a7b417e44666a5f5656796696b10ddda6d
Q06350,3.2.1.14,9505fb1f899e43f93dd02afc4e5aaa7be03f52f8b0fedcdd6fd43dd0c3c30b4c
P29030,3.2.1.14,a6958088ee9b38b0847e1ebf7157d7026cbb3da328c58375600ffa80e304cb99
A0A073CEA3,4.1.1.100,f3fd8e80d5cd0fbdd42ee6086e74c3a3fd68ffb87687bab99bcb893c9edc965d
A0A2P1DP90,4.1.1.52,689678b8cd60e6f371980ff97e3d4932716184c97bae75fbfc1cafbd5025c6f4
A0A077K9K6,2.5.1.138,e92ae0dd8097430de8b7c3fb0664078a99bfdc1b046834c292e72bc99c57f72e
A0A077LPS9,5.3.1.7,952ea58b3bfd1d3f7c0e800acfdda0b6655bcaccba1ba5595964d01f32554d18
F2JVT6,5.3.1.7,252937c6e1ca4a9d00f62545291ecd14391c0538ecac6a8a8de73ceb5b8955ed
A0A096P8D3,1.1.1.41,49a61edae6196fcb9d98475fbaa595dde2716351f0dd8a4c23c41bdb528573b7
B7G620,1.1.1.41,061a9cb0248a94391706c61fcb3edbd007e0c02acd883877122a2f0f06f7f512
O94229,1.1.1.41,4e1615a8c70da34c3ce80edc111d3f2390a824ea9e9a6eb9223cb6d1db2987de
Q93353,1.1.1.41,8a6b2c384ea428129c6eb1eb89899c49d07dae65cd0e4b51feedd9c0ded8300f
P56471,1.1.1.41,8a98ef507593de60f07cf41a57586c7987925dd941efd869727eb62d6388496f
Q8RVM0,2.1.1.159,fd8a408b6ca500c8a0ad68dab340a35b9e701a467aa75f8f351b458030527bd3
A0A096ZEC9,3.3.2.14,56637ab14201b7acaaa5ffa9a87b2ef3d1616f2cf2edeea60b12d27a5a3527ef
O64966,1.1.1.34,4e84fc8ad9a8958e7aca5cda37fbf7c6d5ebe601cd425fe4623bfb9c398d726f
P34135,1.1.1.34,bdc3557f39c1004ecbed6d7c0bbd05b2da91482288bfef83efcd90d013d64e91
Q58116,1.1.1.34,740befcebb7002ebf37fdefcf079fcbfc60f4485fa80bd8e80df0408ed64c03d
I3PLR2,3.1.1.105,937384d63dc26490579654e02412ef752c36929a9f574e50549c81da405f0cd2
A0A0A1GNF2,4.2.1.161,7aff4f5e796eadc2c60377977aeb35df276ec2bc5eb2dd45263939a4d95eb953
A0A0A1HA03,2.4.1.360,d0cc15a3392c7b0d6a3b098507f0230e2e612d03714e72b0861227975fce6fe0
Q5VMI0,2.4.1.360,cce4084d14a816b8bb63f6cd4854f4b0456a2de2b7547b03a779a2a426b79097
A0A0A1H8I4,5.3.3.7,cefd2da9176530c2a0e0339ed82d558b11fc76d0510a69ddd2743537dbe2df8c
A7B1V0,4.1.1.105,5d3e9e127955b6b61a6cc7fea27db8ae96c6dbceab9eea3dec53d918a89563fe
J7SZ64,4.1.1.105,36287a59ef974b0c0127ba13a4defc07bc0fdcfbf94bd1e84168b354fb7701a2
P93082,4.1.1.105,a9b2adf922c1a75f470f3283d312e5cadb40a72993059611d943e65863611469
A0A0A6ZFR4,2.4.1.364,bf836c90064fa6b78c2c8bde929547db537df1e7ecc8fdc9aef6bf4dd2dc2372
A0A0A6ZFY4,2.4.1.365,7c8cee6f1c9a09d197d034abd256da625d658b985df9b1948aa215c9d2098716
A0A0A7GEY4,2.5.1.29,fbb8844783a09075c4eb4de98c44c466ed15f32859f8ecee5f75c8368474da0b
P80042,2.5.1.29,b230d506a0da6f132213c801ef84eeb9b85c649d5c5c0c5973d7eaf9c414276c
A0A1U8QLG8,2.5.1.29,a7106a70da112def5272a487f75c1d65c4aa8ab8868b9bbb6dca4a8d83e83c20
A0A2L0VXR5,2.5.1.29,569c4df4f45eabcc5303321a86c0af63f940c65f2ff9eecf6dc4417f072c7636
B2DBE8,2.5.1.29,b5fd057ae0847e62d8b7b136e53abf3e2cf68e2fe97a49d79691e10b8580f82d
Q9SLG2,2.5.1.29,e803a6048301667f0d165889aaeabe7578bd34dd12c25cb06e573304188e1275
O50410,2.5.1.29,ce225dfc06d7d72b8d707b80075962eabae8989de20c107ce4a52fbd5497a309
P39464,2.5.1.29,09b9d0109aecc487217aed2695edcb561f7954b2af41f425dbf221a9a1075fc4
P48368,2.5.1.29,1332e0d3f771a25e4538003c6737f431f3a8de1795f5bf4c54f756320e7e0baf
P17060,2.5.1.29,98cb781756102f99f6c09a44cc53bcf76c0f2011f4b1ef83c4519f0cdddba8d5
Q12051,2.5.1.29,f794a0d5c483c75654ae9005cc2b0925299a2554c2bdfaaa06db7995756857e5
Q54BK1,2.5.1.29,cb9a96e1fd5abe7e5f53da7a90d8011343a9210e81987726ff100520fe1edb5c
S0E627,2.5.1.29,f58c52f60f4abe4910a1e97fc70b5a7c3d55e920c05ed847a401087ecd92ffd7
B0FLN1,2.3.1.184,865201eb988de71c0c2cb5cd53e529f01c271926cb67460c5c7b8e084a94cea3
O54451,2.3.1.184,03ad4b5c0aac02c3de779c12ffe2e8c1125d67cf512e68745e7e31e4d7f84080
P33883,2.3.1.184,6cd2b85f8d21a972c35fc5a2dcb3c4ba88b1487ddf635b7c4d1f79ceb05c0336
P12747,2.3.1.184,0187f02d726785aa716af2c35076a198fb347227cf74ac63df77dc83f0129b96
P54291,2.3.1.184,ed167f70dd2e78f6e6f499689383118cbf6f9d5d81704b5224d8fdd984359a84
P33881,2.3.1.184,78469e8cdf2a6ce8b9afb3d009d1707c5c96231b8a65a93cce9b5930d13c086a
P33907,2.3.1.184,b86659da07a3addf47eec2f73503184f7311c223e0965d53564a2622924b3521
P58584,2.3.1.184,f48b2a04041d5f6c9c2b9d318d4a701147038017c77b6848270bb4a6fc575286
P74945,2.3.1.184,d4f040ece1aedd4e33a8d861a6874a7fffbc20d07ed48e11fe2fb947687af64e
P70774,2.3.1.184,2495fc4c4a2a4b8c833673b0e03cd0dba9e7789ed0400806d1e190a6e6c9a7da
P52989,2.3.1.184,a6e8f80aebe114cd5c5d95960275562ff83d3c5b7c26b5cf79fd0cca34208696
Q51522,2.3.1.184,55404826879c85b4e8f879ef73a04bfd06d2291079a8982e8da51a26b398ebc9
Q9FDA3,2.3.1.184,7e270c9714a4e95785ce2dddb33daa62b93248bef6cbd740619f08d309552e9a
A0A0B4G504,4.2.3.47,a6f3747cc43fcca92c13ba3bc912e87fc8352ee7fd8e3936e7cc210a92096160
F0ZDD0,4.2.3.47,fefa1d4df95feb87f3d13a48f2c2e113936aaf62a8a4167b8975483781be5225
F0ZL92,4.2.3.47,bdafd8e1667a310aeee4ca0d59fd4018fb8d459effe48c536a2574bb2a47c373
Q54TW4,4.2.3.47,8dd60ee5add566b3fe8d0fda90c51aebeaea60b5d69a681bf54d6c3b48642c33
Q54YE2,4.2.3.47,4947590201a21870aa9ca0806d599e75e2ff45bbe500c007ddcde27deb6738d4
Q9FXY7,4.2.3.47,584e92be46b828f87f94ff467507ffa5b46168c3b0b5bff300273768df815112
Q9K498,4.2.3.47,e8a54329f306756f60d837f216e9f57805cdbb424de35cf7b9bcaacdfc48c2d6
A0A0B4ZTQ2,2.5.1.137,ba818ff4837a962338bbc1fc8e9eae581a50726182356474b3b532e0b8084019
A0A0C2SRU5,1.14.11.76,023050c56aeec94c00f6db533e3b9e75af7cd16c4bd584f42faea4e5a6749ec2
A0A5Q0QSI8,4.2.3.88,8652070decd6aea0a69107cb9578c1a0e0df2aa2ee6ec31732c143c55c7fd945
A0A5Q0QNJ2,4.2.3.88,eac6ad852ff77f3abec70657673af54f842a73a9ff07b3a397bfbafcf9b3d789
