class_index,ec_label
0,1.1.1.1
1,1.1.1.10
2,1.1.1.100
3,1.1.1.102
4,1.1.1.103
5,1.1.1.105
6,1.1.1.107
7,1.1.1.110
8,1.1.1.116
9,1.1.1.117
10,1.1.1.122
11,1.1.1.127
12,1.1.1.130
13,1.1.1.133
14,1.1.1.135
15,1.1.1.136
16,1.1.1.138
17,1.1.1.14
18,1.1.1.140
19,1.1.1.144
20,1.1.1.146
21,1.1.1.15
22,1.1.1.153
23,1.1.1.157
24,1.1.1.159
25,1.1.1.16
26,1.1.1.163
27,1.1.1.169
28,1.1.1.17
29,1.1.1.170
30,1.1.1.173
31,1.1.1.175
32,1.1.1.179
33,1.1.1.18
34,1.1.1.181
35,1.1.1.183
36,1.1.1.184
37,1.1.1.188
38,1.1.1.189
39,1.1.1.190
40,1.1.1.192
41,1.1.1.193
42,1.1.1.195
43,1.1.1.196
44,1.1.1.197
45,1.1.1.198
46,1.1.1.2
47,1.1.1.200
48,1.1.1.201
49,1.1.1.203
50,1.1.1.205
51,1.1.1.206
52,1.1.1.208
53,1.1.1.209
54,1.1.1.21
55,1.1.1.212
56,1.1.1.215
57,1.1.1.216
58,1.1.1.218
59,1.1.1.219
60,1.1.1.22
61,1.1.1.223
62,1.1.1.225
63,1.1.1.23
64,1.1.1.232
65,1.1.1.233
66,1.1.1.234
67,1.1.1.237
68,1.1.1.24
69,1.1.1.245
70,1.1.1.247
71,1.1.1.248
72,1.1.1.25
73,1.1.1.250
74,1.1.1.251
75,1.1.1.252
76,1.1.1.255
77,1.1.1.256
78,1.1.1.257
79,1.1.1.26
80,1.1.1.261
81,1.1.1.262
82,1.1.1.263
83,1.1.1.264
84,1.1.1.266
85,1.1.1.267
86,1.1.1.268
87,1.1.1.27
88,1.1.1.270
89,1.1.1.271
90,1.1.1.272
91,1.1.1.276
92,1.1.1.28
93,1.1.1.281
94,1.1.1.282
95,1.1.1.283
96,1.1.1.285
97,1.1.1.286
98,1.1.1.287
99,1.1.1.288
100,1.1.1.289
101,1.1.1.29
102,1.1.1.290
103,1.1.1.291
104,1.1.1.292
105,1.1.1.294
106,1.1.1.295
107,1.1.1.298
108,1.1.1.299
109,1.1.1.3
110,1.1.1.30
111,1.1.1.300
112,1.1.1.301
113,1.1.1.302
114,1.1.1.303
115,1.1.1.304
116,1.1.1.305
117,1.1.1.306
118,1.1.1.308
119,1.1.1.309
120,1.1.1.31
121,1.1.1.311
122,1.1.1.312
123,1.1.1.313
124,1.1.1.315
125,1.1.1.317
126,1.1.1.318
127,1.1.1.319
128,1.1.1.320
129,1.1.1.324
130,1.1.1.326
131,1.1.1.327
132,1.1.1.328
133,1.1.1.330
134,1.1.1.331
135,1.1.1.332
136,1.1.1.333
137,1.1.1.334
138,1.1.1.335
139,1.1.1.336
140,1.1.1.337
141,1.1.1.338
142,1.1.1.339
143,1.1.1.34
144,1.1.1.340
145,1.1.1.343
146,1.1.1.344
147,1.1.1.346
148,1.1.1.347
149,1.1.1.349
150,1.1.1.35
151,1.1.1.350
152,1.1.1.355
153,1.1.1.356
154,1.1.1.357
155,1.1.1.358
156,1.1.1.359
157,1.1.1.36
158,1.1.1.363
159,1.1.1.366
160,1.1.1.367
161,1.1.1.368
162,1.1.1.369
163,1.1.1.37
164,1.1.1.371
165,1.1.1.372
166,1.1.1.374
167,1.1.1.375
168,1.1.1.376
169,1.1.1.377
170,1.1.1.38
171,1.1.1.381
172,1.1.1.382
173,1.1.1.384
174,1.1.1.385
175,1.1.1.387
176,1.1.1.388
177,1.1.1.389
178,1.1.1.390
179,1.1.1.391
180,1.1.1.392
181,1.1.1.393
182,1.1.1.394
183,1.1.1.398
184,1.1.1.399
185,1.1.1.4
186,1.1.1.40
187,1.1.1.400
188,1.1.1.401
189,1.1.1.402
190,1.1.1.404
191,1.1.1.405
192,1.1.1.406
193,1.1.1.407
194,1.1.1.408
195,1.1.1.409
196,1.1.1.41
197,1.1.1.410
198,1.1.1.411
199,1.1.1.412
200,1.1.1.413
201,1.1.1.414
202,1.1.1.415
203,1.1.1.418
204,1.1.1.42
205,1.1.1.421
206,1.1.1.424
207,1.1.1.425
208,1.1.1.44
209,1.1.1.45
210,1.1.1.47
211,1.1.1.48
212,1.1.1.49
213,1.1.1.50
214,1.1.1.51
215,1.1.1.52
216,1.1.1.53
217,1.1.1.54
218,1.1.1.56
219,1.1.1.57
220,1.1.1.58
221,1.1.1.6
222,1.1.1.60
223,1.1.1.61
224,1.1.1.62
225,1.1.1.64
226,1.1.1.65
227,1.1.1.69
228,1.1.1.71
229,1.1.1.73
230,1.1.1.75
231,1.1.1.76
232,1.1.1.77
233,1.1.1.79
234,1.1.1.8
235,1.1.1.81
236,1.1.1.82
237,1.1.1.83
238,1.1.1.85
239,1.1.1.86
240,1.1.1.87
241,1.1.1.9
242,1.1.1.93
243,1.1.1.94
244,1.1.1.95
245,1.1.1.n5
246,1.1.2.3
247,1.1.2.4
248,1.1.3.10
249,1.1.3.12
250,1.1.3.15
251,1.1.3.16
252,1.1.3.17
253,1.1.3.37
254,1.1.3.38
255,1.1.3.41
256,1.1.3.42
257,1.1.3.43
258,1.1.3.47
259,1.1.3.48
260,1.1.3.5
261,1.1.3.8
262,1.1.5.12
263,1.1.5.14
264,1.1.5.3
265,1.1.5.4
266,1.1.5.5
267,1.1.98.3
268,1.1.98.7
269,1.1.99.1
270,1.1.99.14
271,1.1.99.2
272,1.1.99.22
273,1.1.99.24
274,1.1.99.28
275,1.1.99.29
276,1.1.99.31
277,1.1.99.32
278,1.1.99.36
279,1.1.99.37
280,1.1.99.38
281,1.1.99.39
282,1.1.99.40
283,1.1.99.41
284,1.1.99.42
285,1.1.99.6
286,1.10.3.1
287,1.10.3.11
288,1.10.3.16
289,1.10.3.17
290,1.10.3.2
291,1.10.3.3
292,1.10.3.4
293,1.10.3.9
294,1.10.5.1
295,1.11.1.1
296,1.11.1.10
297,1.11.1.11
298,1.11.1.12
299,1.11.1.14
300,1.11.1.16
301,1.11.1.17
302,1.11.1.18
303,1.11.1.19
304,1.11.1.21
305,1.11.1.22
306,1.11.1.24
307,1.11.1.26
308,1.11.1.27
309,1.11.1.28
310,1.11.1.5
311,1.11.1.6
312,1.11.1.7
313,1.11.1.9
314,1.11.2.1
315,1.11.2.3
316,1.11.2.4
317,1.11.2.5
318,1.12.1.3
319,1.12.1.5
320,1.12.2.1
321,1.12.98.1
322,1.12.98.2
323,1.12.98.3
324,1.12.98.4
325,1.12.99.6
326,1.13.11.1
327,1.13.11.11
328,1.13.11.16
329,1.13.11.18
330,1.13.11.19
331,1.13.11.2
332,1.13.11.20
333,1.13.11.24
334,1.13.11.25
335,1.13.11.27
336,1.13.11.29
337,1.13.11.3
338,1.13.11.37
339,1.13.11.38
340,1.13.11.39
341,1.13.11.4
342,1.13.11.43
343,1.13.11.46
344,1.13.11.5
345,1.13.11.50
346,1.13.11.51
347,1.13.11.52
348,1.13.11.53
349,1.13.11.54
350,1.13.11.55
351,1.13.11.56
352,1.13.11.57
353,1.13.11.6
354,1.13.11.63
355,1.13.11.64
356,1.13.11.65
357,1.13.11.66
358,1.13.11.70
359,1.13.11.71
360,1.13.11.72
361,1.13.11.75
362,1.13.11.78
363,1.13.11.8
364,1.13.11.83
365,1.13.11.84
366,1.13.11.86
367,1.13.11.88
368,1.13.11.89
369,1.13.11.90
370,1.13.11.91
371,1.13.12.13
372,1.13.12.20
373,1.13.12.21
374,1.13.12.22
375,1.13.12.3
376,1.13.12.4
377,1.13.12.5
378,1.13.12.6
379,1.13.12.7
380,1.13.99.1
381,1.14.11.1
382,1.14.11.11
383,1.14.11.13
384,1.14.11.15
385,1.14.11.17
386,1.14.11.18
387,1.14.11.2
388,1.14.11.20
389,1.14.11.24
390,1.14.11.25
391,1.14.11.26
392,1.14.11.27
393,1.14.11.28
394,1.14.11.29
395,1.14.11.31
396,1.14.11.33
397,1.14.11.37
398,1.14.11.39
399,1.14.11.40
400,1.14.11.41
401,1.14.11.42
402,1.14.11.43
403,1.14.11.44
404,1.14.11.45
405,1.14.11.46
406,1.14.11.47
407,1.14.11.49
408,1.14.11.52
409,1.14.11.53
410,1.14.11.55
411,1.14.11.57
412,1.14.11.60
413,1.14.11.61
414,1.14.11.62
415,1.14.11.64
416,1.14.11.71
417,1.14.11.72
418,1.14.11.76
419,1.14.11.77
420,1.14.11.8
421,1.14.11.9
422,1.14.12.1
423,1.14.12.11
424,1.14.12.13
425,1.14.12.14
426,1.14.12.15
427,1.14.12.17
428,1.14.12.18
429,1.14.12.19
430,1.14.12.22
431,1.14.12.24
432,1.14.12.25
433,1.14.12.26
434,1.14.12.3
435,1.14.12.7
436,1.14.13.1
437,1.14.13.10
438,1.14.13.101
439,1.14.13.107
440,1.14.13.111
441,1.14.13.113
442,1.14.13.122
443,1.14.13.127
444,1.14.13.128
445,1.14.13.146
446,1.14.13.148
447,1.14.13.154
448,1.14.13.16
449,1.14.13.160
450,1.14.13.166
451,1.14.13.168
452,1.14.13.170
453,1.14.13.178
454,1.14.13.179
455,1.14.13.182
456,1.14.13.189
457,1.14.13.195
458,1.14.13.196
459,1.14.13.2
460,1.14.13.20
461,1.14.13.208
462,1.14.13.209
463,1.14.13.210
464,1.14.13.215
465,1.14.13.216
466,1.14.13.217
467,1.14.13.218
468,1.14.13.219
469,1.14.13.220
470,1.14.13.222
471,1.14.13.223
472,1.14.13.224
473,1.14.13.226
474,1.14.13.227
475,1.14.13.228
476,1.14.13.231
477,1.14.13.232
478,1.14.13.234
479,1.14.13.235
480,1.14.13.236
481,1.14.13.237
482,1.14.13.239
483,1.14.13.24
484,1.14.13.240
485,1.14.13.244
486,1.14.13.246
487,1.14.13.249
488,1.14.13.25
489,1.14.13.29
490,1.14.13.32
491,1.14.13.38
492,1.14.13.39
493,1.14.13.43
494,1.14.13.59
495,1.14.13.63
496,1.14.13.69
497,1.14.13.81
498,1.14.13.82
499,1.14.13.83
500,1.14.13.9
501,1.14.13.92
502,1.14.13.n7
503,1.14.14.1
504,1.14.14.102
505,1.14.14.103
506,1.14.14.105
507,1.14.14.106
508,1.14.14.107
509,1.14.14.108
510,1.14.14.109
511,1.14.14.11
512,1.14.14.113
513,1.14.14.115
514,1.14.14.116
515,1.14.14.118
516,1.14.14.119
517,1.14.14.12
518,1.14.14.120
519,1.14.14.122
520,1.14.14.123
521,1.14.14.125
522,1.14.14.126
523,1.14.14.127
524,1.14.14.128
525,1.14.14.129
526,1.14.14.13
527,1.14.14.130
528,1.14.14.132
529,1.14.14.134
530,1.14.14.137
531,1.14.14.138
532,1.14.14.143
533,1.14.14.145
534,1.14.14.147
535,1.14.14.149
536,1.14.14.15
537,1.14.14.150
538,1.14.14.151
539,1.14.14.152
540,1.14.14.153
541,1.14.14.154
542,1.14.14.155
543,1.14.14.157
544,1.14.14.158
545,1.14.14.16
546,1.14.14.160
547,1.14.14.161
548,1.14.14.162
549,1.14.14.163
550,1.14.14.164
551,1.14.14.165
552,1.14.14.166
553,1.14.14.167
554,1.14.14.168
555,1.14.14.169
556,1.14.14.17
557,1.14.14.170
558,1.14.14.18
559,1.14.14.19
560,1.14.14.22
561,1.14.14.23
562,1.14.14.25
563,1.14.14.26
564,1.14.14.27
565,1.14.14.28
566,1.14.14.29
567,1.14.14.3
568,1.14.14.32
569,1.14.14.36
570,1.14.14.37
571,1.14.14.38
572,1.14.14.39
573,1.14.14.41
574,1.14.14.42
575,1.14.14.43
576,1.14.14.45
577,1.14.14.46
578,1.14.14.47
579,1.14.14.49
580,1.14.14.5
581,1.14.14.50
582,1.14.14.51
583,1.14.14.55
584,1.14.14.57
585,1.14.14.60
586,1.14.14.61
587,1.14.14.62
588,1.14.14.63
589,1.14.14.64
590,1.14.14.68
591,1.14.14.69
592,1.14.14.71
593,1.14.14.72
594,1.14.14.73
595,1.14.14.77
596,1.14.14.78
597,1.14.14.79
598,1.14.14.80
599,1.14.14.81
600,1.14.14.82
601,1.14.14.83
602,1.14.14.84
603,1.14.14.85
604,1.14.14.86
605,1.14.14.89
606,1.14.14.9
607,1.14.14.90
608,1.14.14.92
609,1.14.14.93
610,1.14.14.94
611,1.14.14.95
612,1.14.14.97
613,1.14.14.98
614,1.14.14.99
615,1.14.15.1
616,1.14.15.11
617,1.14.15.13
618,1.14.15.17
619,1.14.15.19
620,1.14.15.22
621,1.14.15.24
622,1.14.15.26
623,1.14.15.27
624,1.14.15.28
625,1.14.15.29
626,1.14.15.3
627,1.14.15.30
