Entry,start,end,sequence_sha256
A0A151EH88,0,329,5312a85772da6df017dd62f215c520cb4d3461babad8c7eb8b47657e84928687
A0A1I4KS07,0,341,519c898d068fc88132e26e1efdd00f96afaf37ffb94a0b00a084a2c15698e4db
A1AY86,0,299,d14876533d870a309cae7e6ddce0236027e69cbbc044c7bd95fc6139bf9afb11
Q9LUJ8,0,459,869097600ef2ac030ac7ca7e1933b6732c398b6cac3f16ad0a006f09c4aed4da
P0DUE1,0,415,c4775b876ed563c2beb84bf5ab2b475cbf2dcf664dfa55ec677ceaa0192856df
P14778,0,569,c2b68be4c56565f6e7ef5b70b4afa998e7c154c1c482c7b9bf9f3dede2e49f88
P96648,0,266,66154c106809c677974b72de04ef914fdab6d9aa287f6274e7e1086783d96b13
Q0WSX8,0,255,4b7ed5ef7cec77a0533084fac541b02efe4500df90e63c2dea8b611d4b0e586b
Q13478,0,541,ab0e9a72becb71ff0b42f70e152d0a6b01e6d14260f7d850b0c74ff6e5e189b7
Q27312,0,282,a09098d4de12bf671d726165d26227277df794eced7370a49d948ac3730e1e4b
Q2YPC4,0,250,ad2babc317ccb2c8d85cfc9d84a5989d204484800da023de751e330ada6643a9
P59822,0,570,d692313714afafdd80b330307d8fa15c8a1d1e7117f2deadfb743d41734805aa
Q62611,0,566,97503063560a3aa0b239bee09e1f0354bbbb920dc6f8a00319b1e348c01036c7
Q10588,0,318,60d8e6daf037146eddf2d062dd5d4705b88b208249edf104fd83c3ce0dfc1a22
Q833J1,0,274,875c1adb47244b6f7f09bbba71ffc1032a299311964518c9c8691466c066d187
Q9FHE8,0,392,1a1759a9075b2f2c880a34cadbdccbcf556f60a773903426c306c4ed2f8717a8
P27032,0,332,32db9aa3dfe06e86fdb120b87188eac39670749af902e9e03aa31375cecb8ed8
P07984,0,449,f05ee54900653d63a5204edbcc868f93c1ba8644f3eeef6d92ee8d4fb385270f
S7Q0E7,0,321,d35fb48088da8cffaba21f61c76989273620eb74f232d519b6dc47399ea6b92b
Q07940,0,312,89c78f9e77a4dbf4ea10046087abb6f7a424640e905528cb40bfe73c1629973d
B0Y9G4,0,349,b3311718d27b5a4afc5349131f0b21de4c65b4f487f1045023111219f6f8ef90
P28623,0,515,d3ee14160bd732dd507317e5486cded1535d5274eee6652ed173fd84ce977d80
A0A384JJE6,0,322,a5dbd1f95e241f482f587562ad72ce2ad306cd3eb00683f68195a416dcbf7430
A0A023VXA2,0,349,8b93dab714c89ea34064ef901477faed2f809432caf757f91e5e13a6332da9df
G4NBX2,0,309,fb05f88943655263b0b82a675b2ed568bb7da9c6ab8623b7febc54d0ab763782
P17974,0,426,fa45cacc5542fe8b696ef9fae499742e651ff247036c4c8b26a9483818f414f9
P18126,0,511,1979dfc046f82d072b5fed516343972864be6889ef5d36476b16945a956e2c36
G2QZK6,0,304,e26d01aa17f2b80ead1ee422efd0282a1de2913bb9184747eaf3c9109955e4a1
P23661,0,409,252efabc8d35d470bda255a178337b2bcbcf0d06d3c353408da31e6775866397
A0A8A1G1R1,0,514,f59eee643bcbc832d2459176c54835583afba360b5bc32055129db468459c1ba
Q5BEI9,0,434,34ae2329ca73af57578b10dc1050690a9a0dd76ba978a8734be6f2171b792225
Q8RSY9,0,398,25e1ab5690ea68cadd0c21768683ddacd75571385279d97ace75a2ea677c6cd8
P43317,0,242,4cfb7a64972b160b7feebc433e0e3881a0ba054fbc31f7f243574040c7ca7e98
P37701,0,460,7a0e7ccf9f9f77472d984087edce6bc1e00553a5d130ad47fca77d1eb606a7ef
A0A5J6BJN2,0,242,f09d68bbe50a673e3f9faa59ff3f16ec0e75ee5bf7a28c53d956902966116dca
P07103,0,426,36ef1bcaa63b17f5cdca3b9fabc46581bd7418d8545b38fcc83e7cd1456db4c4
Q6DKE0,0,330,35864392248e7e05e40a51dcc291fb5621a2354566f9ad82627b9d45a25c3eb0
Q9UT60,0,368,7a417f75cc49601b0bff3f90119c84c79ec779781b2226605b08383c243582d8
A0A060S684,0,585,9e06a86c4d466395e96365e46d6b77ad91260f234f0e723baab67e005ccf9253
A0A1E4S2P1,0,336,eb77534ac319e95db6e13cc3a3216b8f75bf462b52a0cb77c7e5298291f67e5d
P53208,0,328,2f1e1bbc6223dbd669596cafda23868e398390710e26afe877c8cb1a01606b60
Q9SBK6,0,392,87d751581a6effee0342dc0b5a54dc06a724d45c98501c6a63d254871cc20e6a
A0A067YBQ3,0,451,712355736dc3db793bbb241e175d8c0c650a37be83d6bc23b9497368f09e04fd
A0A068Q609,0,526,f67d9b36f49be8750887afd3f11d51d04dcafb7220e582ebdcc9a7bcf77c12a2
P29027,0,542,d448505fc9df06778cd6066bf29e78d9c7c8e83fe8e57cfd17e0242c32448936
P14529,0,326,811be4d3bde07398cc717f98f1d5ef603f3a4de5caa961260e6052301bded9c5
P11797,0,499,cdb767ddcda49bceb301d055e257d74c22fb58039bd95e5a30c2726c59f80742
P46876,0,462,651eb37ae4bc691f808f8f4c70317eda4121326e3a5fc94747b01b1fb2b465e1
D4AVJ0,0,332,14b852d2e97f5bae8f87858022c75753f33b7d6a06522e178f0e708d8428eb43
O74199,0,522,bc569e89c71884e4d399fa230a9aa94ae0daacb9023c1e9e1c55f0155ff07473
Q8S1V1,0,424,5d80671d54d6c448d1e638450ba6c52fe6b117dff4b2ba716277ada9c5aa6202
P86955,0,466,c15fdf70f8fec5f20acdf29e40fc5dc227fb98f3007f96bcc134680642f88a3a
Q9W092,0,484,012d2aeed28f0c891387619f404ade7d501ffbbbb330c3689090608e62dffece
E9ENC6,0,317,866f6fa9594a7a7406b49ee9fb6fbab6ea50a29e7bd749e01e9efb1811b6995b
H2A0L4,0,468,32ffe6862b55f1f4f95ba3b5059c4ef03c3f1a101dd2356e64b4858267984e66
O81862,0,379,4d5bf92a4cf8d8b82c587dae767fac2ca90e36e1993ec67060e1ad55a563cd24
Q2VST0,0,330,319d1e07ab5ffb2bf93573b07d3f863cfc896543f80c0b155bbc191a9885f6e5
Q1E3R8,0,427,f64a658f58449dfcbc042d44a6d7b5a7cd7ebc62ac75f5c1c87e1ac05de0f946
Q39799,0,324,24e8ce4039f62dac7fb9ffac52775fef3fa5318f8e63075ad3be5bf944540b4e
A0A072UR65,0,379,10d659146e5d656afb8db4a0700798def88564fe7d8421589a0070e73c5626f3
Q9SLP4,0,314,7922ebbe0c2af24010c34064a5c53fbfc3043a2e25c4b13d554b4370ada3f39d
D4B4X4,0,330,5d229bc0eff4db9ad871e02f304581344af42bd99ae30bbf50b450be4e7665f0
A0A1B1J8Z2,0,397,dfdbe93932c2d87b304959171be510a7b417e44666a5f5656796696b10ddda6d
Q06350,0,511,9505fb1f899e43f93dd02afc4e5aaa7be03f52f8b0fedcdd6fd43dd0c3c30b4c
P29030,0,504,a6958088ee9b38b0847e1ebf7157d7026cbb3da328c58375600ffa80e304cb99
A0A073CEA3,0,202,f3fd8e80d5cd0fbdd42ee6086e74c3a3fd68ffb87687bab99bcb893c9edc965d
A0A2P1DP90,0,338,689678b8cd60e6f371980ff97e3d4932716184c97bae75fbfc1cafbd5025c6f4
A0A077K9K6,0,407,e92ae0dd8097430de8b7c3fb0664078a99bfdc1b046834c292e72bc99c57f72e
A0A077LPS9,0,407,952ea58b3bfd1d3f7c0e800acfdda0b6655bcaccba1ba5595964d01f32554d18
F2JVT6,0,394,252937c6e1ca4a9d00f62545291ecd14391c0538ecac6a8a8de73ceb5b8955ed
A0A096P8D3,0,470,49a61edae6196fcb9d98475fbaa595dde2716351f0dd8a4c23c41bdb528573b7
B7G620,0,548,061a9cb0248a94391706c61fcb3edbd007e0c02acd883877122a2f0f06f7f512
O94229,0,361,4e1615a8c70da34c3ce80edc111d3f2390a824ea9e9a6eb9223cb6d1db2987de
Q93353,0,379,8a6b2c384ea428129c6eb1eb89899c49d07dae65cd0e4b51feedd9c0ded8300f
P56471,0,366,8a98ef507593de60f07cf41a57586c7987925dd941efd869727eb62d6388496f
Q8RVM0,0,371,fd8a408b6ca500c8a0ad68dab340a35b9e701a467aa75f8f351b458030527bd3
A0A096ZEC9,0,328,56637ab14201b7acaaa5ffa9a87b2ef3d1616f2cf2edeea60b12d27a5a3527ef
O64966,0,585,4e84fc8ad9a8958e7aca5cda37fbf7c6d5ebe601cd425fe4623bfb9c398d726f
P34135,0,552,bdc3557f39c1004ecbed6d7c0bbd05b2da91482288bfef83efcd90d013d64e91
Q58116,0,405,740befcebb7002ebf37fdefcf079fcbfc60f4485fa80bd8e80df0408ed64c03d
I3PLR2,0,320,937384d63dc26490579654e02412ef752c36929a9f574e50549c81da405f0cd2
A0A0A1GNF2,0,293,7aff4f5e796eadc2c60377977aeb35df276ec2bc5eb2dd45263939a4d95eb953
A0A0A1HA03,0,457,d0cc15a3392c7b0d6a3b098507f0230e2e612d03714e72b0861227975fce6fe0
