Entry,start,end,sequence_sha256
O32178,0,789,156a33b0bd014deaad71bdc2f52e28cf4485fabbd8c1b172360a0603bf9440fb
P29898,0,103,ed516e6e7cf1c21be9e6994497c5195bca4448fc7e4e4ff0ebd379847b4a9a6e
A0A075HNX4,0,479,f4ca53d950ef41496bb2676cb717dcfb5858fa1f3f343b0ca65174c0f109e1db
Q9FM84,0,252,396f7651a226f09d8b728706c45302992325323ae1aa6dfd0830445bc32b6f9f
I1SB12,0,495,e84603bb2ed0efb981cb512f140b6803af79f5ed9f5cf48b1f3cc4131e60620b
P13650,0,478,bcadb021e463fd453661480facb12888c72169d38535de1c57dfc6fbee456cde
Q8FP91,0,642,ed42dc291e9c43fcdeed73c29f9573f230c9b913b277467786efa1bd40be4486
O34214,0,615,225b5b66bbf998434f44f315c56f7b1736c0c898c7a59f70a3b9e69b6c45b119
P52073,0,350,befc044eca0b807f32537c7ecfd46d24f2b2e824a1ebf51634eb4b9fdc0cfa1d
P17489,0,609,7fd8ae0c72fa6048eb6987a544cfb955cbe3b4fd7c429da01a40adf3385b99d0
D5JAJ1,0,318,ed93436ffe5930397691d5864071aab97c4234967a0345b3a2f11ea811e4084f
Q97ET8,0,184,b468e629449e862d6bfb6fed8c87f5844451a918dfbc7096be1163c4652e19d1
Q56185,0,198,1491e0ce8f12d4d580ebe6632a3342cb521e7f39cc206cf8ba66d7671e74c74f
P22318,0,234,7d88c967100ab7a50e5fa52d298d7c2697baa523321f0498e33a4ab19e03c9b3
P22319,0,209,8e033cb25d2e2e5021fabca99ef71f24010713ccea4e6b09a8d81a5c065ad632
P22320,0,488,061e58852532f729c9eb1516ef88383e7cb5f85449b8743b757dbe98cd2d4a7e
Q8U0Z6,0,427,e20581968018eaac9a5894042e94b105cabbd5b470d97a1a161647bd73e1f5c8
Q8U0Z8,0,167,0d1070c0e2ab85dc8ed772b2ab2b78594cbe0dd370ad6d9035c6b6639b6f710c
P69741,0,372,d33944a2933b9c117a31f95a0a1484f06fde4ab54e71a725c460b4c3d42e7195
P42106,0,337,ecdb3182a257cc3a0f9d76dc6a2727f72783a32a5a5aa5012d6b1442a33ef720
P17296,0,320,449d7de9a08ef11ea45173b140097204591ec8f398a7289e6d1a0f2e56ef5dff
Q4PNI0,0,275,a8cd089c7d18a533e3b34c6eb3a9db91fb307594877c97edac9c366c4e6fc0aa
Q01284,0,378,9d78c2fce433b5c9ce9cb90e52b63e24dc2a2cf8960ad17bfea7eaca1c6dee9a
Q9RBG4,0,150,e73c2257ad3b666499add1b56a72b6b8df77df27fd7c9f4e2ac19c3b11bd0c06
Q4P0N0,0,600,021afe24e71b562ad360878a0dc194a49a1fede93b76390b9d8b3057cf4328bb
Q9XJ38,0,463,21f742e00fe6645dd4af345b5f5520e7d52d53c0c5b41c7e1d91318cf1b84a5a
O31534,0,108,065a2f3436d0880a86ad6619af65d778a22660d9bf98d09ede35f0a2c65f70d7
P38049,0,166,d46b71c9176e9e63dabc3f71ccf5d28409ae7b2a06b00fb464b3943b057d2492
A8HQD7,0,361,a58d79697567d08f88c0a48ce5d1aaa12e6a50edf45fadf1e7e155a15cadb246
A6BM06,0,368,91a9a1e618a2511ad2bc6098c89ceabd9922dee3dddf16ece7338b9a1986bf26
P25338,0,174,f54773adeb844773f60e3508db03a476bf7caf1334c6f2f4da5a90740d528afa
O13737,0,222,4559fb31c545952a7d49480846c1df8f5bb6ac1ca675d4f291cf7c19a5891ab3
Q8J130,0,630,5ac2874e3eb7892f77c1f6595cec1e32c6a24656854930fd4801a938ed82859a
P21147,0,510,31b67de0a5fabec9af2611addcd9f732dd21f0325a2c0ca465b5c3c9574e6018
G3F5K2,0,387,41ce1c1c55b3406e502bb02763ef6bfab0a8a378c163c26fdc105ae2c5534956
Q9KL41,0,176,ac192a00335eace644b3ebfabcac5110cfa43b89d621d8e4a10d319d75bf7dff
G3XCZ8,0,198,da59a8073c4defb628fc38c685c62b59618c7131fffb9eb49a47bf7f5bc8ca3e
Q46871,0,254,01b6e0a2858eead9509b4a39d3a4e94fea6f7b86b83d46097d98e26376094f59
P32791,0,686,c1ba5e5604c21c20456cdcb7d50087d813284b0368df19131fce7eae8451a7fd
I7HD01,0,189,2be1462ce9456241aaaa2421ee07e9d854f76c3abe07648af8558bfef543c8a4
Q07540,0,174,82b454435b345a6b083e1bafae1717b694a0ea8e9702d44ce19d2bb8f40cae42
A0A0F5HNH9,0,192,06f883e5728e6982121296e93de364a928e313821abbc2d2c4223c512fdf2451
O32144,0,745,60862726d84f0f83437fc8ff6e901d19268fd76b4e2c241759806d49f48851ed
Q0QLF2,0,425,067e532c94daafe1333ccdc51c48f2c7f855d388a916cffa245bbfacf275f87a
O32147,0,330,8f73150f334b0de7fef87403b93669c79b1493646a5d015a535aec68f2903dcd
O67475,0,696,273d4d361d1be707662f5aaf9c4b4e4112afaffb7f5d553caa7417e02bbcacd6
Q8RI52,0,827,8e97d51067de39c2ebe9d15409040adef17d7e895bd518276e87279c3acc4a26
Q8I295,0,535,ce40abab6255fcc261bfb3018c76ecc02a163a291f973fb7b3bfe907806dadfb
B2S3D9,0,376,b456c4bce0ffa638416c1ffe46f8f1443262a87113de2de7a904744d2df72176
O24926,0,368,4c9b23afb28184f7c8d775d84c1cc25d70c3c89776c0f87d3c5deff4c8105720
Q38YM3,0,328,bccb3a8dda1a2073d650772e8bcd22f40b68428c1336ec842a397f4205d5bc3f
A9FRJ0,0,244,53ec4ef914c93dc56cc9ea87acf66a4491968887e026f06c8fdaaeb01969788f
Q7NBE9,0,328,e4be34d1aa4815d50b8739c338ae7e5e14b5f4a532ddd79c59057d8699b17663
Q6MEC8,0,340,19500bfcbae8f74b995f0b7da9f3ba8ee8f300ce1e94f3377f80d1728a2d28a3
Q69R21,0,837,61bb32f9438a3c89a3fa87de4f7664d2f8d29b44e743bbd165c1a3ddad2b6ea9
P9WF02,0,469,5baf7c458352c557158e40cad38e971f61910a2b52a0f091dfe8ac6ed9de126a
Q2RI40,0,315,8eb6f2cec58eb749466fbd6bd245996b8f0b58f2dffd8c176a86e68b001aca1f
O26801,0,477,2cbf4c7a5a0a36949126a501aa7005fa945c6675afa83fdc501985f8bd791c04
O53182,0,653,918953257ca19ec03e56fda87de2f0ca8167d01b67fac045a20d99390eacedd1
F4KU78,0,222,c38c50014847c14f21fcdd465251e53f90fe72b08129de7afd8413f5969a6368
B9K712,0,186,f4a20beedf106e8b3a605ec44e71e27cd35e0675998a354bcf35272c74b16982
Q9Z4P6,0,629,2543f084c7b5c4a7d1d956c97a797ff7b310f38bf5ec13b175faaa278e4625e2
O68252,0,501,34cb4992cb2a9953fee0cf912549206540ad3bf9e3a6fb26bc857b6a3d3cec22
P40526,0,253,2189eadab8527f593aebeb2e385e54f5dae72e9264fdc1d84c8c0a93f4f8bea4
P42593,0,672,8aefa9c88fc02660e965e7d1a8ced409083f23b5dc5e8f94f2cb45c895dff29e
O69721,0,323,1f7566f00873e8f5e5f155ac3e9205552a30b1cd042a77cfff0fbf7f4fed31e0
Q93Z96,0,233,1fcaf24c963890fd00c7b32c3b7d4752c4c06793da62a9d396476ae1a4522fbe
Q10062,0,490,44d4b39cf8a64206b92c6b3caa73bacba97ce87201778a9f64b4998574ddb640
P0CZ24,0,187,3d36784e418a63b4ac86e0c77413cf80630f98fb57a2ab5c6ff02cdfd300332a
Q4QIU7,0,231,9b2f1115b8baba55232bf0dab13e2aa0064eb174707fd18140ddb0a450220b86
Q08210,0,569,dbf8965836f2600cb1a56f3806760b255b16d0e960bb4a0ef68ab9c707ed26e4
Q338P6,0,329,3e950a45b7fcc1006963e536bd1bd517b4a265e2b5290969f472dbf8911506d9
O87877,0,282,ff6ab8426b16943ed054e41a8c5172f9fdb02abe26df66083326c64ed34e311d
P34275,0,408,76e7820236fcf0bb52b75d4a78944e56fd7382a474be13cd58a8e84273645651
C8WLE3,0,606,0004e5f7c8e69548490c89b43598cb211ce2913c0c7f6e0b0ea8c30f82bd9ed8
P72449,0,517,f25f2bf42891986f6e0153f0ec037f00b3a0c34a0bfc48dede70e203b97cf17e
Q8KFK3,0,647,8a2a9d48d443282066588909663a50ecbda76ff7220f59142fefc5646845006c
Q9ZPY1,0,198,9da40d8e46f86d1603e8e79535b54879ae45e97e6e4b0a0ca563812b592897ec
Q6IWZ0,0,535,7256ce8c722735e743c994d6ddde115f8e59344d78b2e65eacbb8c52cae2e6a6
Q8KHS0,0,473,3d05f4a27e2634c884ab8e9a64cc91a3cc94a431e5480659ec43182a265a92b1
Q04515,0,187,47d3ce33b8a0b0319f775f9020efe1e83106ef22073439c2ae0fbd90bcdb291f
G2IQS8,0,288,5271a25b2b7fed3445c02092b05235364e75d9b5d63dbda50b8195146a370671
A0A075BSX9,0,437,f559454f7a41afe33325e9b9b286e1ce0e6ab68769a6f78890138a3e9104d676
P50264,0,508,cfa938a2beeb9abc682ddfecacd1e7b666e01bdb37fda032ab03572fd3adaac5
Q93NH4,0,425,1fdf80aed5f8dd3db40fd9fc39c91ca70eb03d359fa474fd756a56f4ed03741b
Q86H28,0,572,20f2fd5dc724c698a992cfc835e6651fdb1e6b3d042c03b5b831e59580990c45
P09368,0,476,e08561da578259fc4785d44aed340f4c17dc0ec4b2622784a1c4c652c85a1422
O74524,0,492,358fc1dba680a07a42591f3d8d418ff93052816b12b36346d55110d0125a2462
P74312,0,206,3763db67869c9ddbb74c63e06412313ba57df5318eccc42b2a9e454ed4c6244a
P42436,0,106,c7d55b69a0a6233ea665043e2472dde3229b7f9c0c0bd068903cfb69f12de272
Q50925,0,570,8b3f9d2bec7c2fcdded4726cb1dc77851ca51b1878cce7bb82d0d7639be73ac7
L0DSL2,0,553,39dc32a772662913aa3cf2c6304d1edcec6300fbd65356895ddec7bb5e48b769
Q1Q0T3,0,353,22a2f52a6d4f1c289ef06b33033214d02c90653bc8290f629131f7803ccc50fd
O33732,0,938,b1a302ffe70d9cc03443a1166d6b834247baccec898aeb0ce05689e91c93c1bc
P0AGG4,0,139,2d85985ca438411443c9e84d514040a3eed30ddd9e678687fe36cf05b36bce06
D4APQ6,0,404,1da3925e0f6582e534f8b6395c680baa008bc639f63850176f657dcd6cd6e80b
D3RVD4,0,270,9e007945f0bf77488633eeedac208369930524a6f5ffb2f1e8de40f0418dd3c4
P08761,0,246,cd9817a80e06fd2c1130209b757792b55599bc3fce25aaf49c4e56e285260a3c
O83641,0,291,45321845642e9ea571c272ff9b4099bef87b5ef2fbd0ed7ff52956897b6b2502
Q9AJF7,0,123,8925b6d4795ad2f0a8077b7dd84e81794f5f255aac4c897b615a933a1824b512
P97224,0,168,5138e2302f87f7cc159aaa8c2edc593e2dd9ddc2e429c103f3d757c33942d25e
Q7ZAG8,0,409,3772af12768349e012b0c52872bc175d14530c0bebfc4d5ddfc862c833e12107
P97207,0,184,6a2673c34de69b0fd8257c23f094d5041c346a3257fb3a949664d6d7dcfb14fd
Q8TLB1,0,247,c85e21d85831858f136085f3e4e0db1788fbc609928fd28304603fae6e1deda8
P45573,0,105,307122f94055c86fa662e1ac1e78e87d9509d78e2d5d60114e6917e3833de0c8
P80563,0,875,51693eede0c315cf6469ad543928aa358380cb9b460ac02112812b3e77bc5aed
Q9S1G7,0,239,f43a6e20b5945044b776f1b978a3bb36958716bf33213028937ce7f59c42907b
P80564,0,274,13dd8aaca3c8f9d3b8fd532fa4af55f632dbf229c5407de61f84a5abb87bdd0b
Q9UAS6,0,700,75016d1e6934765f1edb7df92da0b5ed590476e46843490fb018533beb6f271b
Q6MQU0,0,209,d19be426fb718475e80a244ff824751640f01229c861713d651191ef9ed02f47
P52422,0,292,0911ea00928a51fe8f050995d927b96fd1f8c11a71bf1be133c5bf1551ef4a13
Q9SKT4,0,297,ef52cbd43c912b3f8f727c4a5e84e879b538321962940e3c37773b7559c8a5c1
O06927,0,292,cdac04c88a4e254b1003467734b70193c331024ef22be8576a830a3be1921a0f
P9WJQ7,0,426,38c46aadf83c604f25c70b5f7c6d43a446853eac9e5f2cdc51f20750f110bef4
P9WG39,0,547,0ddd0d2ea7229a4828d0d34baaa9f4bc2fe50b24d28a23854eb6015dc8bd5635
Q10325,0,407,7860c645f11a171b5f9ecedd717d86d99a745d4ae5d6765d0b3fc308864e8c72
P08988,0,261,56f195aa777d6db0ad80778a2b11bff24963ac29b0e7722b8e3135171e3c4770
Q84WV9,0,320,8054c7df1d499ac2dbf768776b88686fda628ed7e0fbdd13f81ea6b349fe45f6
P16639,0,503,20f4fb9c39fe66e86a9f1ac6e3163725a1cf2f9a52bbf06922c5fcc5a8c7fdf9
Q55EI0,0,629,24ce94ed7e6512deff2e803271c34dd2249cf176c46f4ecee78a32fa23de69d1
Q2LTE1,0,629,11c2c6619fd875e94a49fda5fefbc9e169e8e1c95ddec5bacfe44b8e805c9ce9
Q9FD71,0,383,cfe8285395ea649decd4af1aa6f7e315d6e4dd13c2c33684692ef09cad374b44
Q9USX0,0,378,9062dc4151c06a797ac196a5f359d3c5733d7288ba2d5b0141e1a633c9e1e2f8
Q5JDJ7,0,675,030b371dc748729bfd94cd150c58ef63fd5e75976da544c04d9fe33391e2f229
A6LKE9,0,423,d138f6e0f61caed872968cd77e6ce78595af018b584df9c6a2173b795ddd2fe8
Q9ZQC6,0,351,f4a744ce66b0e1780c2554d36e352b018db839c98d441c81c7bc881d35a250ae
Q02166,0,444,11fe6711fc42cfc279f8f7767494915a488818b376842bd0f82ef9a9ec01058e
Q7N8B1,0,408,ea8cf288922089f03c173610affa92e8ff5896a748bd6c0c45f9fd35f78389ec
O66663,0,353,2d65665f798123187b63030470b4afbca11c87c415cc36ac27322fe7f72b73ce
A1XI30,0,432,9e410b2e3de160e35afc0c615764d88e0016c5be1131f65e86b4e9683532f0f1
Q0WUA3,0,382,af1084c1a53fff26aa52a55fa70feab4937d920599556211dd292e8a0cff6d35
Q09832,0,418,e165137800bc4f396a6e5fdfa42bda51edbe3d07fd86a3b66376fe83f799609f
Q58428,0,569,91de9daa94c8f6d740f4652ddef6cde682fed97a855b493bccf8de293391e9b6
O07587,0,393,43bbe93dd71d0c548259e1c40456e492ec8bb8c75451fdb26add4671ae3de421
