protein_id,length
A0A075BSX9,437
A0A075HNX4,479
A0A0A2JP58,389
A0A0F5HNH9,192
A0A0H2V8B5,307
A0A0U5GNT1,528
A0A1V0HUU2,259
A0A2U7XUH7,214
A0A345BJN2,218
A0A5Q0QN66,659
A0QIR4,715
A1XI30,432
A4VFY3,476
A5UK38,367
A6BM06,368
A6LKE9,423
A7J2C6,348
A8HQD7,361
A9CH39,507
A9FRJ0,244
B0G0Y8,466
B0R5G4,398
B1AIC1,799
B2KZE7,455
B2S303,268
B2S3D9,376
B2UNU8,794
B7J192,372
B9K712,186
C0HLG3,156
C0SPA0,718
C8VC05,443
C8WLE3,606
D0ZLR2,247
D2IYS2,807
D3RVD4,270
D4APQ6,404
D4AXL1,595
D4GP40,412
D5JAJ1,318
E3PY95,740
E3PY96,121
E7DDH2,401
E8PLM2,528
E8WYN5,131
E9FCP7,501
F4K1R2,197
F4KU78,222
G2IQS8,288
G3F5K2,387
G3XCZ8,198
H6LC27,333
H6LC30,207
H6LC32,443
I1SB12,495
I7HD01,189
L0DSL2,553
O05156,362
O06291,528
O06927,292
O07587,393
O07717,398
O13629,363
O13737,222
O21280,222
O24926,368
O26801,477
O27397,312
O29537,132
O31534,108
O31671,506
O31852,414
O32144,745
O32147,330
O32178,789
O33732,938
O34206,595
O34214,615
O51127,261
O52214,135
O52216,164
O53182,653
O53388,214
O58010,136
O64876,347
O66663,353
O67475,696
O68252,501
O69721,323
O74038,434
O74524,492
O81027,468
O83641,291
O85304,433
O87877,282
P00801,178
P04069,303
P08761,246
P08988,261
P09368,476
P0AFV4,188
P0AGG4,139
P0C1J7,385
P0C7B6,521
P0CF22,210
P0CZ24,187
P0DTS9,280
P13650,478
P16218,900
P16639,503
P17296,320
P17489,609
P19409,520
P19968,201
P21147,510
P22318,234
P22319,209
P22320,488
P23857,104
P24546,366
P25338,174
P26174,284
P29898,103
P29933,332
P29934,631
P30289,141
P30636,243
P30663,519
P31742,567
P32791,686
P34275,408
P34808,472
P35150,382
P35202,319
P37024,809
P37112,370
P37646,255
P38049,166
P38254,753
P39042,291
P39730,1002
P40526,253
P40601,645
P42106,337
P42436,106
P42593,672
P44721,313
P45573,105
P46904,386
P50264,508
P51599,313
P51691,536
P52073,350
P52422,292
P69741,372
P72449,517
P72736,195
P73270,390
P74268,247
P74312,206
P80563,875
P80564,274
P91247,277
P96590,149
P97207,184
P97224,168
P9WF02,469
P9WG39,547
P9WJQ7,426
P9WKE1,214
P9WM67,183
Q00246,291
Q01284,378
Q02166,444
Q02854,189
Q03415,396
Q04515,187
Q05354,126
Q05631,351
Q06700,587
Q07540,174
Q08210,569
Q09832,418
Q0P887,331
Q0PBX7,247
Q0QLF2,425
Q0WUA3,382
Q10062,490
Q10325,407
Q11090,356
Q187N7,157
Q1Q0T3,353
Q23122,793
Q2FV99,206
Q2IN45,498
Q2LTE1,629
Q2RI40,315
Q2W9Z8,267
Q338P6,329
Q38YM3,328
Q3EDG5,500
Q3IYX7,221
Q3IZP4,134
Q40784,329
Q46871,254
Q46DA4,413
Q48677,355
Q4P0N0,600
Q4PNI0,275
Q4QIU7,231
Q50925,570
Q52556,528
Q54BW5,179
Q54EP3,171
Q54KQ7,655
Q554D8,447
Q55AX0,904
Q55E32,219
Q55EI0,629
Q56185,198
Q56210,165
Q56724,115
Q57399,253
Q57706,404
Q57822,170
Q57I19,336
Q58030,344
Q58428,569
Q58456,515
Q58544,323
Q59514,313
Q59639,233
Q59727,330
Q59801,807
Q5HLM5,721
Q5JDJ7,675
Q5JIZ5,663
Q5LW89,152
Q5P5G6,303
Q5UZH5,341
Q5ZU17,216
Q609C2,224
Q66I06,191
Q69R21,837
Q6IWZ0,535
Q6MEC8,340
Q6MQU0,209
Q6ZUV0,252
Q79FW5,584
Q7N8B1,408
Q7NBE9,328
Q7SIG4,314
Q7UNE1,397
Q7VSX3,339
Q7ZAG8,409
Q84WV9,320
Q86B00,499
Q86H28,572
Q86I79,522
Q8EZ24,237
Q8FP91,642
Q8GUN2,147
Q8I295,535
Q8J130,630
Q8KFK3,647
Q8KHS0,473
Q8L539,277
Q8NM65,306
Q8P3K1,125
Q8RI52,827
Q8RM02,168
Q8TLB1,247
Q8U0Z6,427
Q8U0Z8,167
Q8VYJ1,560
Q8ZTF9,106
Q93NH4,425
Q93Z96,233
Q94JQ4,187
Q95ZE2,384
Q97ET8,184
Q981V0,927
Q99316,277
Q9AJF7,123
Q9FD71,383
Q9FM84,252
Q9FT69,858
Q9FT74,606
Q9GRT1,350
Q9I2Q1,154
Q9KJF0,410
Q9KL41,176
Q9KWS2,142
Q9LVQ8,414
Q9M8R4,388
Q9RBG4,150
Q9RW45,418
Q9S1G7,239
Q9S847,223
Q9SCY3,217
Q9SKT4,297
Q9T010,295
Q9T390,367
Q9TZI1,549
Q9UAS6,700
Q9USX0,378
Q9W1L5,406
Q9X895,580
Q9XJ38,463
Q9YAD8,156
Q9Z4P6,629
Q9Z5B6,231
Q9ZPY1,198
Q9ZQC6,351
