protein_id,length
A0A011QK89,388
A0A023VXA2,349
A0A024SC78,248
A0A060S684,585
A0A067YBQ3,451
A0A068J840,475
A0A068Q609,526
A0A072UR65,379
A0A073CEA3,202
A0A075FBG7,580
A0A077K9K6,407
A0A077LPS9,407
A0A088MF62,362
A0A096P8D3,470
A0A096XJN4,485
A0A096ZEC9,328
A0A0A1GNF2,293
A0A0A1H8I4,262
A0A0A1HA03,457
A0A0A6ZFR4,451
A0A0A6ZFY4,442
A0A0A7EQR3,474
A0A0A7GEY4,319
A0A0B4FWC3,332
A0A0B4G504,331
A0A0B4ZTQ2,408
A0A0C2SRU5,206
A0A0C5Q4Y6,493
A0A0D4BSP3,237
A0A0E0SNE8,323
A0A0E3USC3,275
A0A0E4AFH6,384
A0A0F6B4W4,267
A0A0G4DBR5,459
A0A0H2V630,371
A0A0H2V660,409
A0A0H2V871,318
A0A0H2WWB5,333
A0A0H2WWP1,452
A0A0H2WWV6,493
A0A0H2WZ38,243
A0A0H2ZF83,547
A0A0H2ZGN6,324
A0A0H2ZH52,323
A0A0H2ZQL5,264
A0A0H3AFM6,321
A0A0H3GDH9,466
A0A0H3H456,472
A0A0H3JUG6,240
A0A0H3JUU7,437
A0A0H3JVA1,573
A0A0H3JXA8,272
A0A0H3LX82,405
A0A0H5BMX5,440
A0A0H5BN57,329
A0A0J5WTU0,303
A0A0K0JFP3,572
A0A0K0PVL3,472
A0A0K0PVW1,472
A0A0K8P6T7,290
A0A0N7F297,519
A0A0N9HMN6,372
A0A0R4IDP3,328
A0A0S1RVB0,263
A0A0S1TPC7,500
A0A0S1TQ04,499
A0A0S2UQQ5,380
A0A0U2UYC4,493
A0A120HUS7,271
A0A140C435,397
A0A140IL90,513
A0A140KFG9,554
A0A140N890,230
A0A140NCB4,262
A0A140NDS5,256
A0A142ZC57,444
A0A144A134,444
A0A150XSC5,376
A0A151EH88,329
A0A161CAI1,356
A0A162J448,501
A0A163UT06,277
A0A172U6X0,286
A0A178U9Y5,592
A0A193AUF6,506
A0A1B1J8Z2,397
A0A1B4XBG5,367
A0A1B4XBH2,544
A0A1C5G2V9,305
A0A1C9U5X5,363
A0A1D3PCI9,333
A0A1D3PCK2,262
A0A1D6EFT8,557
A0A1D8PEL1,431
A0A1D8PJA8,467
A0A1D8PJX3,213
A0A1D8PLH0,432
A0A1D8PPK1,407
A0A1D8PS71,461
A0A1E4S2P1,336
A0A1E7MYN1,555
A0A1H7TQR5,438
A0A1I4KS07,341
A0A1I9Q5Z0,481
A0A1I9R3Y5,234
A0A1J1EM40,452
A0A1L2D3T3,563
A0A1L4BJ46,232
A0A1L7VZE7,401
A0A1P8B760,512
A0A1P8B8F8,569
A0A1S4CL59,351
A0A1S4F020,412
A0A1U8QLG8,397
A0A1U9YI11,179
A0A1U9YI21,239
A0A1V0ELS9,374
A0A1V0QSA8,339
A0A1W2PR19,241
A0A221J5P3,387
A0A221J5X1,397
A0A286LF02,507
A0A291LSD6,571
A0A291P0C1,435
A0A2G3D6U1,440
A0A2H3E4G0,356
A0A2H4DGV8,495
A0A2I1D2M7,584
A0A2I2F272,405
A0A2I6B3P0,490
A0A2I7G3B3,379
A0A2I9,359
A0A2J8C362,295
A0A2K3DU55,269
A0A2L0VXR5,350
A0A2P1DP90,338
A0A2P6MHY1,287
A0A2R4QKX7,561
A0A2R6PI27,355
A0A2R6Q8R5,456
A0A2R6QXF8,457
A0A2S1WBY6,356
A0A2T5Y4G4,323
A0A2U7XUE3,209
A0A2U8U2L5,430
A0A314KSQ4,580
A0A348AUV7,554
A0A348AXX5,538
A0A348B779,338
A0A348B782,340
A0A348HAY2,364
A0A364LXP7,564
A0A381HBN1,351
A0A384JJE6,322
A0A384KG77,243
A0A385AJN0,325
A0A386JVA3,403
A0A3L6G998,547
A0A3M6TIF0,432
A0A3Q7GYG2,356
A0A3Q7HS74,475
A0A3Q7HWE4,165
A0A3Q8GYY4,268
A0A3S5YBC7,492
A0A3S7WQS5,595
A0A411EW25,361
A0A455LLX4,198
A0A455ZJC3,398
A0A4P8DY91,364
A0A4S8MAF3,353
A0A4V2JTK3,308
A0A4V8H040,196
A0A4V8H042,377
A0A4Z3,339
A0A509AKB8,473
A0A5B8NIM2,262
A0A5B8Z1N3,494
A0A5C1ZXT8,178
A0A5J6BJN2,242
A0A5Q0QMX1,353
A0A5Q0QNJ2,389
A0A5Q0QSI8,430
A0A5Q0QU70,358
A0A5S9I252,386
A0A6C7EEG6,523
A0A6J1SUS3,431
A0A7G5KLV0,590
A0A7G5KLV1,561
A0A7R7ZDZ6,273
A0A7W3N5X5,226
A0A7W3RCJ3,477
A0A7W3RDA3,446
A0A858E4Y8,324
A0A8A1G1R1,514
A0A8B6XWW9,341
A0A8C2MDK8,438
A0A8F4N283,245
A0A8F5SIS3,260
A0AFT8,121
A0AIH1,355
A0AK73,332
A0B3Z7,515
A0B5C3,267
A0B5R0,311
A0B632,545
A0B6A6,224
A0B6K7,226
A0B6L2,392
A0B742,399
A0B7U9,392
A0B7V0,267
A0B7V2,413
A0B880,262
A0B999,269
A0B9D8,208
A0B9M2,256
A0E3W6,233
A0JC77,274
A0JPF9,462
A0JTE5,109
A0JZP6,599
A0K5T4,205
A0K6Q0,524
A0KEG6,248
A0KGY4,547
A0KJM0,279
A0KLP0,376
A0KMH0,338
A0KPP9,342
A0KU76,449
A0KYQ5,394
A0L3L9,270
A0L407,225
A0L408,445
A0L486,121
A0L4K6,249
A0L4N8,253
A0L5M8,310
A0L5N1,370
A0L5N9,313
A0L5T9,327
A0L5U5,296
A0L678,358
A0L7P3,255
A0L7R4,326
A0L887,487
A0L8H9,303
A0LBW3,559
A0LC14,214
A0LCF5,252
A0LDT6,421
A0LDX4,294
A0LEL7,362
A0LFB7,456
A0LGZ0,197
A0LHQ7,581
A0LIM0,444
A0LK12,505
A0LLH7,220
A0LLI5,248
A0LMC1,277
A0LPR5,355
A0LRH8,356
A0LTT2,142
A0LUD3,165
A0LV84,105
A0LVX1,341
A0LVY3,414
A0LW30,292
A0LWS4,191
A0LXL9,353
A0M4S0,285
A0M4U6,151
A0M554,299
A0M7A5,207
A0MH68,493
A0NLY7,263
A0PDV5,430
A0PJZ3,443
A0PM50,390
A0PR19,336
A0PTP8,367
A0PU93,130
A0PV27,468
A0PXA5,379
A0PXB6,324
A0PYU9,317
A0Q2N5,306
A0Q3W9,226
A0Q4Y5,332
A0Q635,225
A0Q6K9,349
A0Q6Z1,333
A0Q8A2,369
A0QAA9,357
A0QNG3,491
A0QRI8,409
A0QS28,554
A0QTF8,327
A0QTU8,542
A0QU51,325
A0QUZ2,322
A0QWG6,386
A0QWT2,414
A0QXE4,580
A0QYE8,478
A0QYS5,469
A0QZ49,498
A0R043,382
A0R066,368
A0R1V9,195
A0R211,406
A0R3C4,324
A0R3H2,194
A0R3N5,104
A0R4Q2,551
A0R5N1,423
A0R5T3,354
A0R607,460
A0R756,263
A0R758,571
A0R7G6,363
A0RD64,179
A0RI44,212
A0RJN9,404
A0RK86,376
A0RM81,223
A0RMK7,329
A0RMQ7,271
A0RMY9,416
A0RP54,399
A0RQR9,458
A0RTP4,201
A0RTV6,193
A0RU64,479
A0RU67,341
A0RU82,287
A0RUA5,488
A0RUI8,476
A0RV30,376
A0RW02,273
A0RWW0,348
A0RXF8,417
A0RXT6,228
A0RXV1,210
A0RY20,562
A0RYM1,247
A0RYU6,379
A0RZ28,310
A0RZ60,446
A0ZZH6,504
A1A0U7,488
A1A1R9,460
A1A2F2,365
A1A2Z2,459
A1A3D2,344
A1A3W4,308
A1A4Q9,195
A1A5Z0,339
A1A6H3,379
A1A8P3,183
A1ABP5,249
A1ACS1,193
A1ADA6,322
A1ADJ6,307
A1AHB7,332
A1AIR1,478
A1AN86,437
A1APW8,323
A1ATF5,361
A1ATI7,267
A1AV04,273
A1AV41,221
A1AV54,213
A1AVE9,285
A1AW02,269
A1AWQ3,127
A1AXA3,315
A1AY86,299
A1B196,316
A1B198,369
A1B1C2,103
A1B3I3,107
A1B8Z1,387
A1B8Z3,396
A1BDG1,131
A1BGS9,204
A1BJF6,320
A1C9D4,272
A1CSZ8,308
A1CWF3,403
A1D415,423
A1DA61,411
A1DA65,504
A1DA66,393
A1DBG6,552
A1DEK3,573
A1DJ20,453
A1DJ47,450
A1DMD5,512
A1IHE6,533
A1IHE7,401
A1IIX2,409
A1IIX5,179
A1IPQ8,250
A1IRQ3,324
A1JHN0,370
A1JIJ2,234
A1JJ89,347
A1JN84,201
A1JPI0,273
A1JRR3,313
A1JSN7,481
A1K3E5,263
A1K7V8,117
A1KG30,326
A1KIH4,274
A1KQF4,468
A1KUT0,248
A1KV07,305
A1KV88,367
A1KVW0,461
A1KXI1,266
A1L1C5,175
A1L2Q8,274
A1L4V7,427
A1R0C2,239
A1R0L0,188
A1R1K8,384
A1R2B5,328
A1R587,316
A1R674,332
A1R7J5,378
A1R8Y2,323
A1RAI8,301
A1RH87,256
A1RMG0,369
A1RSN2,228
A1RT34,211
A1RTB8,382
A1RTD5,411
A1RU12,255
A1RUA0,227
A1RUA9,120
A1RV58,342
A1RVH4,305
A1RVJ1,176
A1RWC8,227
A1RX71,204
A1RXB2,204
A1RXJ4,232
A1RXS9,445
A1RY04,232
A1RYS1,556
A1RYX5,182
A1RZ10,282
A1RZJ9,347
A1S066,284
A1S2F9,360
A1S7A3,237
A1S987,233
A1SBR7,319
A1SE17,537
A1SG03,267
A1SGT4,371
A1SJF7,110
A1SJG9,161
A1SKY7,382
A1SMU5,369
A1SPL0,295
A1SR31,191
A1SS88,256
A1SSB8,444
A1SSU3,102
A1SSY6,210
A1STJ9,545
A1SWR2,245
A1SX22,382
A1SYY0,101
A1SZ19,349
A1T086,186
A1T273,254
A1T2Y9,389
A1T8U6,380
A1T9S1,416
A1TC01,225
A1TC97,342
A1TKA9,292
A1TND7,116
A1TWI0,184
A1TXT7,429
A1TZ35,185
A1TZ52,351
A1U1J4,358
A1U204,351
A1U2T9,278
A1U388,357
A1U3C2,216
A1U4A9,234
