Entry,EC number
O32178,1.1.1.35
Q9FM84,1.1.3.8
I1SB12,1.1.3.5
Q8FP91,1.1.5.4
P52073,1.1.99.14
P17489,1.10.3.2
D5JAJ1,1.10.3.11
Q97ET8,1.11.1.1
P69741,1.12.99.6
P42106,1.13.11.24
P17296,1.13.11.2
Q4PNI0,1.13.11.63
Q9RBG4,1.14.12.14
Q4P0N0,1.14.13.9
Q9XJ38,1.14.13.122
O31534,1.14.14.18
P38049,1.14.14.18
A8HQD7,1.14.16.1
A6BM06,1.14.17.4
Q8J130,1.14.18.1
P21147,1.14.19.1
G3F5K2,1.14.99.63
Q46871,1.16.1.9
P32791,1.16.1.9
I7HD01,1.16.3.1
Q07540,1.16.3.1
A0A0F5HNH9,1.16.3.1
O32144,1.17.1.4
Q0QLF2,1.17.1.5
O32147,1.17.1.4
O67475,1.17.4.1
Q8RI52,1.17.7.4
Q8I295,1.17.7.4
B2S3D9,1.17.7.4
O24926,1.17.99.6
Q38YM3,1.18.1.2
A9FRJ0,1.18.1.2
Q7NBE9,1.18.1.2
Q6MEC8,1.2.1.70
P9WF02,1.2.4.4
Q2RI40,1.2.7.10
O26801,1.2.7.7
O53182,1.2.7.3
F4KU78,1.21.1.1
B9K712,1.21.1.1
O68252,1.21.99.5
P40526,1.3.1.94
P42593,1.3.1.34
O69721,1.3.1.12
Q93Z96,1.3.3.3
Q10062,1.3.3.4
Q4QIU7,1.3.5.3
Q08210,1.3.5.2
Q338P6,1.3.7.12
O87877,1.3.7.8
P34275,1.3.8.4
C8WLE3,1.3.99.33
Q9ZPY1,1.4.3.5
Q6IWZ0,1.4.3.2
Q04515,1.5.1.3
G2IQS8,1.5.1.54
P50264,1.5.3.17
Q86H28,1.5.5.2
P09368,1.5.5.2
O74524,1.5.5.2
P74312,1.6.5.2
L0DSL2,1.7.2.2
O33732,1.7.5.1
P0AGG4,1.8.1.8
D4APQ6,1.8.1.9
P08761,1.8.4.11
O83641,1.8.4.11
Q9AJF7,1.8.4.11
Q8TLB1,1.8.7.3
P45573,1.8.99.5
Q9S1G7,1.97.1.9
Q6MQU0,2.1.1.33
P52422,2.1.2.2
Q9SKT4,2.1.2.5
P9WJQ7,2.10.1.1
P9WG39,2.2.1.6
Q10325,2.3.1.48
P08988,2.3.1.81
Q84WV9,2.3.2.5
P16639,2.3.2.8
Q55EI0,2.3.2.8
Q2LTE1,2.3.3.3
Q9FD71,2.3.3.10
