Entry,EC number,sequence_sha256
Q0KBD2,1.1.1.410,596dd807446e83fb9b2ad8c204ff0c82ec1e7bafbb7e4b03ee346414e78377c0
D4GYH5,1.1.1.22,9274268abeec04e84b0d7a87ac7bb0a8853ab1078010caba2768bb99e4c8adae
P9WQC7,1.1.1.1,e9e97b9709a9bc0ea2bd27dc29c3ae827f9e9cde75f085c14c8567b3f37f9f44
Q94AX4,1.1.2.4,daed73f838c3a228292061d97c4385ec3a580b774012de0163c4992400d3bfa1
B8MKR3,1.1.2.3,7fd35d694f446677c20c565526e959af183bd8a5b5923694dfe9bc53f9a8bc98
Q9HDX8,1.1.3.37,8686241ab98b9604460a62cb9a1b71b06f1f92c08a55f09425ae33fc69f0bcdb
Q7SGY1,1.1.3.37,1ca9d26d6ba4ffad99b6fb475cfdbca43dcabc47f3ce42d5dba41f9434feb80e
A0A5N1I561,1.1.3.15,d0b21b1afab96cc0b7bee7a9daac1a33aadfb6cb2ff1a50e51d38a8a8a95b94d
Q8NRY8,1.1.5.12,a61934efdd77f40f352cab9500466175635ac571da8d28d76b4c339599952a39
P56954,1.1.5.4,7668a62cb45807850ee3542d43fdfe93354da587011baaa392c5ceeed5b3239b
Q8SR40,1.1.5.3,9a34b6294571d6bb62a697ae1fab4b89f433746d0a0c6a6a1c55ede23b741f7d
Q02550,1.1.98.7,e1bcf5cc8c93e07583d8e75f516c349cab56aef789769b3aaee175420b9a270a
S2DJ52,1.1.99.2,3c49490aa25d50efdd79072b917759b6c5322db6d470c308b812b17ff160a409
P52074,1.1.99.14,0573b161f5d515b6eeb7817312e44057817f47d40c49307c81c82ebab15b98c3
Q55GI5,1.1.99.2,bfff45def498391a8f770d41b1391fa9dd43ed1a0843738442fcd4c55e83bbe7
D4GPK6,1.10.3.2,eba907ce489ab3b98d8ce316359fb01487b8cd05ef43a6f8f2f0946d1fd38875
D4APX3,1.10.3.2,94723cde82a6acdec080ece3c03a3f1b89272d85afd5d413e28ec8812ec21189
P43310,1.10.3.1,2dc0fb4f8cd343970c617a53a30b677342eea5da8107a97fc25827b34e2e8b84
O81755,1.11.1.7,8fbf044d16fdc48ffe4c0db964e474765e13bc7a746169337d99d6356515dbd2
P38013,1.11.1.24,343c6df1bb32d62d94ca4e3d37094c41acf0b4b7d0a4edc98d89f7a41c458eb9
Q9S3V0,1.11.1.6,64a7e6601c3f9fbdb4c6d142672129ce329aad8d1f8f24655d36b2f3de978491
Q46508,1.12.1.3,7461178159eaf8abb0fda87cf59418418609c2a5a18c94e1e06e3191505e80c8
E7FHF8,1.12.1.5,d4242941a67748789d7eeea0fa86b506e238eb2d9dc1306f6a75e8d940cccf39
E7FHU4,1.12.1.3,e43216efa5a2a6495b21520ae0d69aef2a6690383efa997e3059bb7549919929
P31883,1.12.5.1,9d28203b2b0da76043a6a8058ab55c9094d7b2b22a994cd006337d5d16c4f172
P31884,1.12.5.1,da0e1ef557febf03c25589c02da93dc353423c2604b02afaaeaeaea34b11e12e
P29166,1.12.7.2,256e5d85a0e3cf8376fd1dc8a91c8809f4eebe00217ef1b458d5f6c3f729cc8b
Q60338,1.12.98.1,0d7a314d4a41fbe29d1103df278b8f614d30f6b5c2d2d0540e30de32b6675a91
Q8U2E4,1.12.98.4,14761aa05961f8d5e679f590530e904f75c4a9eb98a30c6e201fe2f2ef825fb6
P19496,1.12.98.1,30c634c44ed74d143af62605b8e387cd6046786696e49777541f27fd82021e76
P0ACE0,1.12.99.6,8df83bddd504561938a5de86aaff24215118a1d83807310d22c45377d5929d0b
P13063,1.12.99.6,3a089cfac3f6a2a7a0d3e7ff6e799363e2302d0ade7d88839fde131f5a3c9ce1
Q9HPU7,1.13.11.63,6ea63488003c7ee6674bfec4b6692b578e2726b91524e32ad123e5443e99a250
Q9HZ00,1.13.11.24,f28a30e3f0fbea69a6da1d59152b0151c19c14fef83bcbe63067d836ea60f344
Q9S3U6,1.13.11.4,2cf24b9b02c78fc67b97d6010704f40271b749f617b6e480d1292a053e2cd593
P47177,1.13.12.16,ca4a26e0f362cf365ec701ca92cb2e4b8241f717e616f1b895999a053b07fb80
Q12723,1.13.12.16,8992db8e5a95bdfcd09b15fc601faaafaaeef761c3ace0fa3e9ade17e049e27a
Q9SVS8,1.14.11.15,a40a41cf017416f19935ca20c4fcebbb6f548719b1f1d85ef0e653ef0bc7c2e4
Q8RWR1,1.14.11.27,12c47fa50c8002daa80a405c4754ff4aaf6b8be57fa85355958f57c77386723a
A3KP59,1.14.11.27,93c737af4247fc6e48bdd11e36a973a5c9b53f75f83bc6ebac74db3a7a6ece7d
Q84BZ3,1.14.12.1,6bf2cc35ac9e00929abd1aeb41b30d29f96f9877b509e77339e014c2f2b65cec
Q9KMY3,1.14.12.17,a4ad95d3d3f3c712e63096cb5799cccdc24ac8390f70df599455d117d00a40dc
O85674,1.14.12.1,f2871de11b52432a96167e5c4ad205edaefb3c11cd590f29721a76dfed21a1bf
O52380,1.14.13.172,96f543f674d596a5f74013ca073f305cc191ef56bbf5d7e4cf42618176818a66
A0A0E4AFG7,1.14.13.182,d7dbe9e7745821022d08b2ae16fab1f3e6a0d5c2b0a99dca4ec680fac6f064ab
O52379,1.14.13.172,cb6f153b1866e787bee0f018f7312fd2a83b85eb4004c5aa5fa4f4e9d8fd975a
Q4L1M7,1.14.14.9,e57618db10836394b0239bcc0e340c3b6af5d011706d66786c1f12afc4fd9b3b
Q6Q272,1.14.14.9,86b9376823cbefa9c5ec8c77a69d5738ae2b05e4ae6f2292dc6d72ce55edb916
B8QHP5,1.14.14.80,812af1ae465a6642a81ceaca2f5d2ab0e399250ec1fec06f0426521fcb9d72e5
C4B644,1.14.15.15,57a92f1e47a3eaa36231d0d9eaaf0c00538449c112f2cd9a4d01b20c323c79cd
O31250,1.14.15.3,89c52f4135321e4957381582af0448801600ed5c260227879b2ca534e37416c4
O17446,1.14.16.2,bce1d0ceca0a8881f798285b1e988dadc7a70583187a4afadceed41059a827cf
P18459,1.14.16.2,82a55a453af71ce196a9a67fa925e6f87b5c2761cca2ce8e8281f2b7cc7819e3
O17554,1.14.16.5,8e75bc9ee852851c778b9b9b699c75a599e1e24cb76b2a240885c9f9497d7565
