Entry,EC number,sequence_sha256
O32178,1.1.1.35,156a33b0bd014deaad71bdc2f52e28cf4485fabbd8c1b172360a0603bf9440fb
P40580,1.1.1.320,dcd3c6a84d68466041673103a671e8fbb60526144ddc018dd10ae64abcd3c94e
P05707,1.1.1.140,c1e1c843975e5a82bd72270f15a6828e80da20a0f5adcf10226cdab3eb701a5e
P29898,1.1.2.7,ed516e6e7cf1c21be9e6994497c5195bca4448fc7e4e4ff0ebd379847b4a9a6e
A0A075HNX4,1.1.3.20,f4ca53d950ef41496bb2676cb717dcfb5858fa1f3f343b0ca65174c0f109e1db
Q9FM84,1.1.3.8,396f7651a226f09d8b728706c45302992325323ae1aa6dfd0830445bc32b6f9f
I1SB12,1.1.3.5,e84603bb2ed0efb981cb512f140b6803af79f5ed9f5cf48b1f3cc4131e60620b
P13650,1.1.5.2,bcadb021e463fd453661480facb12888c72169d38535de1c57dfc6fbee456cde
Q8FP91,1.1.5.4,ed42dc291e9c43fcdeed73c29f9573f230c9b913b277467786efa1bd40be4486
Q9LES4,1.1.99.2,0fd4e6a3d93df5a088d898b2a0f1cb6ee30986e58123feb46712b77109d900e5
O34214,1.1.99.3,225b5b66bbf998434f44f315c56f7b1736c0c898c7a59f70a3b9e69b6c45b119
P52073,1.1.99.14,befc044eca0b807f32537c7ecfd46d24f2b2e824a1ebf51634eb4b9fdc0cfa1d
P17489,1.10.3.2,7fd8ae0c72fa6048eb6987a544cfb955cbe3b4fd7c429da01a40adf3385b99d0
D5JAJ1,1.10.3.11,ed93436ffe5930397691d5864071aab97c4234967a0345b3a2f11ea811e4084f
Q53692,1.10.3.4,5875262d0470b29ef06ad87107e565e7c0eefdd0611b585138f77ed14bcd7a74
Q97ET8,1.11.1.1,b468e629449e862d6bfb6fed8c87f5844451a918dfbc7096be1163c4652e19d1
Q9JN69,1.11.1.23,27756eae8f8b8ec3c16596c0fffaf37221ac5d8151ed8e36276f7c140fbe4342
Q56185,1.11.1.23,1491e0ce8f12d4d580ebe6632a3342cb521e7f39cc206cf8ba66d7671e74c74f
P22318,1.12.1.2,7d88c967100ab7a50e5fa52d298d7c2697baa523321f0498e33a4ab19e03c9b3
