protein_id,length
A0A0E4AFG7,381
A0A2H4HHY6,594
A0A3D9VCI6,778
A0A5N1I561,408
A0A8V1ABE9,376
A0JMM9,161
A0KXU5,388
A0LWX2,120
A0MTQ2,396
A0Q5S7,356
A1RWC3,511
A1RX33,444
A1SD28,393
A1U5G5,373
A1VY27,201
A2CI35,953
A3KP59,544
A3MSA1,708
A4J9S4,113
A4VND8,307
A5EXM4,297
A5FUL0,368
A5IK84,270
A5JZ19,346
A6Q367,650
A6TUN0,795
A6VVZ9,257
A7BHQ9,625
A7IDY1,208
A7LCJ2,155
A7N6S2,681
A8ABE2,171
A8AC69,188
A8KRL3,217
A8QFF6,454
A8ZZH7,255
A9B546,305
A9F3W3,676
A9FZ87,329
A9NEX8,240
A9NFF0,310
B0R5Y6,441
B0R6W9,268
B0SBH6,260
B1L3E4,632
B1L6S7,206
B1L6Z7,281
B1XWQ5,368
B2GCE0,617
B2KEC4,242
B2TIE4,339
B2V7Q4,203
B3DX48,348
B3QXR3,341
B4RSU6,365
B4S0P6,233
B5Y6R9,271
B5YGA0,345
B7GHM4,222
B7JBP8,434
B8FA61,438
B8H363,444
B8J0C6,316
B8MKR3,496
B8N8Q9,413
B8QHP5,523
B9DFX7,883
B9E7J8,311
B9KZ42,448
C0H3X7,856
C0QIZ3,117
C0QVX1,359
C0QZS7,980
C1F1C7,325
C4B644,403
C4KZS5,347
C4LSS0,296
C5CFQ7,406
C7RGH4,218
D3DJ41,652
D3EBC1,518
D4APX3,633
D4ASE6,486
D4GPK6,579
D4GYH5,430
D5ECW5,817
D5SL78,329
D5SRZ4,257
D5WYQ5,314
D7A6E5,275
D7REY3,791
D7REY4,295
E0VLV0,463
E1JIB2,287
E1V7V7,469
E3E7F9,449
E6R6G5,687
E7FHF8,237
E7FHU4,261
F1QYJ6,296
F7J186,470
F7J187,452
F7ZDR3,346
F8C4X8,323
G5EFD9,922
G5EGA5,376
H6LC28,192
H6LC29,196
I3R584,446
I3R637,586
I3R9M9,984
I6Y8I5,299
M1VV65,425
O01404,365
O06835,170
O06995,226
O08317,355
O08342,400
O13819,559
O13843,191
O13940,376
O14124,409
O14144,182
O14147,844
O15821,487
O17446,465
O17554,505
O26154,349
O26666,221
O27054,257
O27995,284
O28088,301
O28249,201
O28837,328
O29904,191
O30245,282
O31250,408
O32214,605
O33998,417
O34098,749
O34599,379
O34753,358
O35010,296
O43029,412
O43090,551
O43976,246
O45228,616
O47478,168
O52379,423
O52380,161
O53554,515
O54075,411
O54143,391
O62140,674
O62461,378
O66674,299
O67012,696
O67625,289
O67931,430
O74409,296
O76997,794
O81755,404
O82383,467
O82656,340
O85674,163
O94467,395
O94544,612
O94727,564
P00947,125
P08018,668
P08065,586
P0A434,365
