Entry,EC number
A0A151EH88,3.2.2.6
A0A1I4KS07,3.2.2.6
A1AY86,3.2.2.6
Q9LUJ8,3.2.2.6
P0DUE1,3.2.2.6
P14778,3.2.2.6
P96648,3.2.2.6
Q0WSX8,3.2.2.6
Q13478,3.2.2.6
Q27312,3.2.2.6
Q2YPC4,3.2.2.6
P59822,3.2.2.6
Q62611,3.2.2.6
Q10588,3.2.2.6
Q833J1,3.2.2.6
Q9FHE8,3.2.2.6
P27032,3.2.1.4
P07984,3.2.1.4
S7Q0E7,3.2.1.4
Q07940,3.2.1.4
B0Y9G4,3.2.1.4
P28623,3.2.1.4
A0A384JJE6,3.2.1.4
A0A023VXA2,3.2.1.4
G4NBX2,3.2.1.4
P17974,3.2.1.4
P18126,3.2.1.4
G2QZK6,3.2.1.4
P23661,3.2.1.4
A0A8A1G1R1,3.2.1.4
Q5BEI9,3.2.1.4
Q8RSY9,3.2.1.4
P43317,3.2.1.4
P37701,3.2.1.4
A0A5J6BJN2,3.2.1.4
P07103,3.2.1.4
Q6DKE0,1.1.1.179
Q9UT60,1.1.1.179
A0A060S684,3.1.1.42
A0A1E4S2P1,2.3.1.268
P53208,2.3.1.268
Q9SBK6,2.1.1.141
A0A067YBQ3,2.4.1.170
A0A068Q609,1.14.14.77
P29027,3.2.1.14
P14529,3.2.1.14
P11797,3.2.1.14
P46876,3.2.1.14
D4AVJ0,3.2.1.14
O74199,3.2.1.14
Q8S1V1,3.2.1.14
P86955,3.2.1.14
Q9W092,3.2.1.14
E9ENC6,3.2.1.14
H2A0L4,3.2.1.14
O81862,3.2.1.14
Q2VST0,3.2.1.14
Q1E3R8,3.2.1.14
Q39799,3.2.1.14
A0A072UR65,3.2.1.14
Q9SLP4,3.2.1.14
D4B4X4,3.2.1.14
A0A1B1J8Z2,3.2.1.14
Q06350,3.2.1.14
P29030,3.2.1.14
A0A073CEA3,4.1.1.100
A0A2P1DP90,4.1.1.52
A0A077K9K6,2.5.1.138
A0A077LPS9,5.3.1.7
F2JVT6,5.3.1.7
A0A096P8D3,1.1.1.41
B7G620,1.1.1.41
O94229,1.1.1.41
Q93353,1.1.1.41
P56471,1.1.1.41
Q8RVM0,2.1.1.159
A0A096ZEC9,3.3.2.14
O64966,1.1.1.34
P34135,1.1.1.34
Q58116,1.1.1.34
I3PLR2,3.1.1.105
A0A0A1GNF2,4.2.1.161
A0A0A1HA03,2.4.1.360
Q5VMI0,2.4.1.360
A0A0A1H8I4,5.3.3.7
A7B1V0,4.1.1.105
J7SZ64,4.1.1.105
P93082,4.1.1.105
A0A0A6ZFR4,2.4.1.364
A0A0A6ZFY4,2.4.1.365
A0A0A7GEY4,2.5.1.29
P80042,2.5.1.29
A0A1U8QLG8,2.5.1.29
A0A2L0VXR5,2.5.1.29
B2DBE8,2.5.1.29
Q9SLG2,2.5.1.29
O50410,2.5.1.29
P39464,2.5.1.29
P48368,2.5.1.29
P17060,2.5.1.29
